title,subtitle,author,article_content
Jair Ventura volta a conviver com desfalques no Juventude,"Entre as baixas, está o zagueiro Danilo Boza, que tem suspeita de uma lesão muscular na coxa",Roberto Peruzzo,"A lista extensa de desfalques parecia ser algo do passado para o técnico Jair Ventura no Juventude. No entanto, logo após a vitória sobre o Fluminense, o comandante recebeu uma série de notícias para lamentar. Para o duelo com o Vitória, no próximo sábado, o comandante pode ter outras três baixas.
Substituído no confronto com o time carioca, o zagueiro Danilo Boza tem suspeita de lesão muscular na coxa. Com isso, não participou dos primeiros treinamentos antes do confronto em Salvador. A tendência é que o jogador fique fora, com a entrada de Yan Souto para atuar ao lado de Zé Marcos.
Além do defensor, outro titular do técnico Jair Ventura está entregue ao departamento médico. Com uma lesão no ombro, o atacante Erick Farias vai desfalcar o time alviverde por até quatro semanas. Com isso, Marcelinho e Edson Carioca são as principais alternativas.
Com essas mudanças forçadas, o provável Juventude tem: Gabriel; João Lucas, Yan Souto, Zé Marcos e Alan Ruschel; Ronaldo, Jadson e Nenê; Marcelinho (Mandaca), Lucas Barbosa e Gilberto (Ronie Carrilo).
Outra opção seria a entrada de Diego Gonçalves. No entanto, o atacante teve constatada lesão de grau 2 na coxa. Dessa forma, está fora nos próximos confrontos. Por fim, o meia Jean Carlos também é desfalque com um desconforto muscular. A previsão é que o meia fique a disposição em 20 dias.
Estes nomes se juntam ao que já estavam entregues ao departamento médico: o zagueiro Rodrigo Sam, com lesão no púbis, e os volante Caíque e Danilo Peixoto, que sofreram lesão ligamentar no joelho."
"Juventude terá três jogos em outubro, dois deles contra clubes do G-6; veja o calendário","Na luta pela permanência, clube gaúcho terá que somar pontos contra os melhores times do Brasil",Roberto Peruzzo,"O mês de outubro não será nada fácil para o Juventude. Na briga para garantir a permanência na elite do futebol brasileiro, o time de Caxias do Sul terá apenas três jogos, mas todos eles contra clubes que estão acima do Papo na tabela – dois deles atualmente no G-6 da competição.
Os confrontos iniciam contra o Vasco, neste sábado, às 21h, em São Januário. Os dois times estão separados por apenas três pontos na tabela. No entanto, o clube carioca, nono colocado com 36 pontos, vem em ascensão e está fora da briga pela permanência. Enquanto isso, o Ju é 12º com 33 pontos e preocupa pela sequência negativa. Nas últimas seis partidas, conquistou apenas uma vitória.
Após a partida no Rio de Janeiro, o técnico Jair Ventura terá um tempo importante para treinar e recuperar os atletas. Por causa da data Fifa, o clube só volta a atuar no dia 20 de outubro, em um domingo, contra o Palmeiras, às 20h, no Alfredo Jaconi. A equipe de Abel Ferreira é vice-líder, com 56 pontos, apenas um atrás do Botafogo.
Por fim, a última missão de outubro está marcada para o maior palco do futebol brasileiro, o Maracanã. No dia 26, o Juventude visita o Flamengo, às 19h. O time carioca é o quarto colocado, com 48 pontos.
Com a diferença de cinco pontos para a zona de rebaixamento, estes três duelos podem ser definitivos para o clube caxiense se distanciar de vez do Z-4 ou até mesmo cair para as últimas colocações do Campeonato Brasileiro. A ver qual será a resposta do grupo alviverde.
O calendário do Juventude em outubro:

"
Escalação do Juventude: Jair Ventura perde dois jogadores da mesma função no meio-campo,Volantes Ronaldo e Thiaguinho tiveram contusões confirmas e serão baixas certas contra o Vasco,Roberto Peruzzo,"O Juventude terá mais dois desfalques para a sequência do Campeonato Brasileiro. Os volantes Ronaldo e Thiaguinho tiveram lesões confirmadas e não serão opções para o técnico Jair Ventura nas próximas semanas. Com isso, a primeira função do meio de campo volta a ser um dos grandes problemas do treinador por causa da falta de opções.
Titular nas últimas cinco partidas do time, Ronaldo sofreu uma lesão no ombro. Dessa forma, vai desfalcar o time contra o Vasco, no próximo sábado, às 21h, em São Januário, pela 29ª rodada do Brasileirão, e possivelmente na rodada seguinda. A tendência é que ele permaneça entregue ao departamento médico por, pelo menos, três semanas.
Contratado na última janela de transferências, Ronaldo supriu uma das principais carências da equipe, a de um ""camisa 5"". Isso porque, após a lesão ligamentar no joelho sofrida por Caíque, a posição não possuía um titular absoluto. Thiaguinho e Dudu Vieira foram testados na função, mas foi o novo reforço quem mais se adaptou a missão e se tornou peça importante na formação de Jair Ventura.
O substituto imediato de Ronaldo também não poderá atuar. Com uma lesão muscular na coxa, Thiaguinho é ausência certa por duas semanas. Dessa forma, restam como opções para a primeira função do meio de campo Luís Oyama e Dudu Vieira.
+ Juventude tenta recuperar atletas em semanas abertas
Thiaguinho deve ter condições de enfrentar o Palmeiras, no dia 20 de outubro, no Alfredo Jaconi. O duelo será o próximo do Juventude após o Vasco, devido a paralisação para a data Fifa.
Por outro lado, Jair Ventura deve ganhar duas alternativas importantes para o setor ofensivo. O meia Jean Carlos e o atacante Erick Farias estão em fase final de recuperação e podem ser reintegrados ao grupo. Suspensos na última rodada pelo terceiro cartão amarelo, o zagueiro Zé Marcos e o atacante Lucas Barbosa retornam à formação alviverde.


O confronto contra o Vasco será disputado às 21h de sábado, em São Januário. No momento, o Papo é o 12º colocado, com 33 pontos, com cinco de vantagem para o Corinthians, o primeiro time na zona de rebaixamento."
"Convocado para a Seleção sub-20, volante renova contrato com o Juventude","Davi Góes participará de atividades na Granja Comary, em Teresópolis-RJ, entre os dias 7 e 15 de outubro",Roberto Peruzzo,"Considerado uma das principais promessas das categorias de base, o volante Davi Góes teve o contrato ampliado com o Juventude. O jogador estendeu o vínculo até o final de 2026 antes de participar de um período de treinamentos com a seleção brasileira sub-20.
Figura frequente entre os relacionados para as partidas do Papo na Série A, o jovem de 19 anos está na lista dos 23 jogadores escolhidos pelo técnico Ramon Menezes. Com isso, integrará as atividades na Granja Comary, em Teresópolis-RJ, entre os dias 7 e 15 de outubro.
O período no Rio de Janeiro faz parte da terceira fase de preparação para o Sul-Americano Sub-20, que ocorrerá entre 23 de janeiro e 16 de fevereiro de 2025, no Peru.
Davi chegou ao Alfredo Jaconi durante a temporada de 2022. Nome de destaque do sub-20, o volante logo se credenciou a uma vaga no elenco profissional. Em 2024, passou a receber oportunidades. Pelo Brasileiro, já jogou contra o Botafogo, em Caxias, e o Atlético-GO, em Goiânia.
Além da presença em partidas do profissional, Davi Góes também é utilizado com frequência em outras competições em que o clube está envolvido, como por exemplo, o Gauchão Sub-20 e a Copa FGF."
Juventude tem três jogadores entre os que mais receberam cartões na Série A; veja lista,"Volante Jadson, de forma disparada, é o maior infrator da competição com 12 amarelos e um vermelho",Roberto Peruzzo,"Os desfalques fazem parte do cotidiano das equipes em uma competição longa. No entanto, no Juventude, esse cenário de baixas parece ser ainda mais frequente. Além das lesões, o time gaúcho vem sofrendo pela indisciplina de seus jogadores. Nada menos do que três atletas do Papo estão na lista dos que mais receberam cartões na Série A do Campeonato Brasileiro.
O líder da estatística negativa, disparado, é Jadson. Apesar de ser considerado um dos grandes expoentes técnicos do alviverde, o volante vem colecionando cartões amarelos por faltas cometidas na intermediária. Com 12 amarelos e um vermelho, o jogador já desfalcou a equipe em quatro partidas ao longo da competição.
Veja também
+ João Lucas aposta na força do Juventude como mandante
O cenário não é muito diferente para outros dois jogadores, titulares absolutos do técnico Jair Ventura. Principal artilheiro da equipe na temporada com 11 gols marcados, Lucas Barbosa já recebeu nove amarelos. Além disso, no empate em 1 a 1 com o Corinthians em Itaquera, recebeu o vermelho direto por reclamação, quando já havia sido substituído e estava no banco de reservas.
A lista dos principais infratores do Juventude na elite do futebol brasileiro é completada por Zé Marcos. O defensor possui, até o momento, oito amarelos e outros dois vermelhos.
O impacto dos três na formação do time titular pode ser comprovado no duelo com o Bragantino, no próximo domingo, no Alfredo Jaconi, às 11h. Diante do time paulista, o técnico Jair Ventura não poderá conta com Barbosa e Zé Marcos por exatamente esse motivo, de suspensão.
No quesito cartão amarelo, Jadson é o jogador que mais recebeu cartões entre todos, com 12 no total. Já em vermelhos, o Juventude é representado de forma negativa por Zé Marcos. Com duas expulsões, o zagueiro lidera a estatística junto com outros seis jogadores."
João Lucas aposta na força do Juventude como mandante em confronto direto com o Bragantino,Lateral reforça necessidade de melhorar desempenho como visitante para ter o fim de Brasileiro tranquilo,Roberto Peruzzo,"Sem apresentar desempenho e nem resultados longe de casa, o Juventude busca se distanciar no Z-4 com o aproveitamento conquistado no Alfredo Jaconi. O time gaúcho aposta exatamente nisso para conquistar um resultado positivo em mais um confronto direito neste domingo contra o Bragantino, que possui a mesma pontuação no Brasileiro.
Apenas quatro pontos separam os comandados de Jair Ventura da zona de rebaixamento. Com uma sequência de duelos indigestos na sequência do Campeonato Brasileiro, contra times como Vasco, Palmeiras, Fortaleza, Bahia e Flamengo, o jogo deste final de semana é tratado como crucial para voltar a dar tranquilidade ao grupo na reta final da competição.
– Todos sabemos da importância deste jogo, viemos de um resultado adverso. Vamos encarar uma equipe que está na mesma faixa de tabela, é um jogo complicado. O Jaconi está sendo muito importante, até porque a gente tem que melhorar bastante fora de casa, poderíamos estar melhores se tivéssemos trazido pontos fora de casa. É valorizar o que a gente vem fazendo aqui e não deixar cair – afirmou o lateral-direito João Lucas.
Veja também
+ Com Jair Ventura suspenso, saiba quem comandará o Juventude
Até o momento, o Juventude tem 13 jogos disputados como mandante na Série A. Nesse recorte, conquistou sete vitórias, quatro empates e amargou apenas derrotas para Criciúma e Inter. O aproveitamento total é de 64,1%, que coloca o time de Caxias do Sul como o oitavo melhor mandante.
Apesar da aproximação do Z-4 devido à derrota para o Vitória na última rodada, João Lucas não vê o Juventude pressionado para o duelo com o Braga.
– Não vejo como uma pressão, nos sentimos confortáveis dentro do Jaconi. O Jaconi tem uma mística diferente, tem um pulso diferente com a presença do nosso torcedor. Então, é entrar com tranquilidade, como sempre. Buscar o resultado organizado, executando tudo o que vamos trabalhar durante a semana – concluiu o lateral."
Juventude tenta recuperar atletas em semanas abertas e ganhar opções,Preparador físico Rodrigo Squinalli acredita em melhora da equipe com retorno de lesionados e mais tempo para treinar,Roberto Peruzzo,"Em meio aos jogos decisivos no Brasileiro, o Juventude terá o mês de outubro marcado por compromissos apenas nos fins de semana. Depois de uma temporada agitada, com a ida até as quartas de final da Copa do Brasil, esse aspecto pode ser considerado um trunfo para garantir a permanência na elite.
Além do maior tempo para os ajustes do técnico Jair Ventura, o período será fundamental para esvaziar o departamento médico alviverde.
Na entrevista coletiva após o jogo com o Bragantino, o preparador físico Rodrigo Squinalli afirmou que o Ju estará ""muito forte"" nas rodadas finais da competição. Para ele, essa melhora passará principalmente pelo maior tempo disponível para treinar e recuperar os atletas.
– Nessa reta final vai ser mais gostoso de trabalhar, porque a gente voltou lá contra o Fluminense e quase não parou. A semana passada foi a primeira que tivemos sete dias, entre começar o treino, dar a carga, diminuir e vir para o jogo. Aquele departamento médico é coisa de louco, gastamos acho que todo o estoque de injeção de analgésico, porque eles querem estar em campo e a gente não tem medo de arriscar. Eu acredito no Juventude muito forte nas 10 últimas rodadas — declarou o preparador.
– Estou fazendo 20 anos de futebol. Eu nunca vi uma galera que se entrega tanto em treino e paga o preço para estar em campo. Eles estão com dor, eles não querem saber. O Thiaguinho treinou desgastado essa semana, e falou: ""eu vou entrar no jogo e acabou"". O Boza não conseguiu fazer a readaptação ideal como a fisiologia fala, porque ele quer ajudar. Olha que coisa mais linda.
Desde julho, Jair convive com uma lista extensa de desfalques. Mais recentemente, as baixas marcaram presença, principalmente, no setor ofensivo. No empate com o Bragantino, no último domingo, o comandante não pode contar com o zagueiro Rodrigo Sam, o meia Jean Carlos e os atacantes Erick Farias, Gabriel Taliari e Diego Gonçalves.
Desta relação, o mais próximo de retornar aos gramados é o atacante Diego Gonçalves, que sofreu uma lesão muscular. O jogador iniciou a transição física ainda na semana passada. Dessa forma, pode ser uma alternativa que o técnico ganha para o duelo com o Vasco, no próximo sábado, em São Januário.
Além dele, outros dois nomes são avaliados diariamente pela comissão técnica. O meia Jean Carlos já fez alguns trabalhos de transição e o atacante Erick Farias teve uma lesão no ombro, mas se manteve em atividade com movimentações sem choque.
Logo após o confronto em solo carioca, o Ju terá duas semanas até o compromisso com o Palmeiras. Até por isso, esse prazo é considerado fundamental para ""zerar"" o departamento médico. A expectativa é que esse período seja suficiente para o retorno do defensor Rodrigo Sam. Já Gabriel Taliari, que voltou a sentir dores no joelho, tem a situação mais delicada.
Titular com o técnico Jair Ventura, o volante Ronaldo pode ser um desfalque inesperado para o confronto com o Vasco. O jogador sentiu dores no ombro esquerdo e precisou substituído diante do Bragantino. No início desta semana, permaneceu com dores e passará por um exame de imagem. Já o atacante Edson Carioca e o volante Thiaguinho, que sentiram no último jogo, não preocupam e devem ficar a disposição."
Juventude já tem 14 pontos a mais em relação à campanha do rebaixamento em 2022,"Na temporada de retorno à elite, time gaúcho realiza campanha tranquila e faz cálculos para concretizar a permanência",Roberto Peruzzo,"O torcedor tem bons motivos para acreditar que o Juventude permanecerá na Série A pelo menos por mais uma temporada. Com uma campanha segura, o time está a sete pontos da zona de rebaixamento. Além disso, os 32 pontos conquistados são superiores aos registrados pelo clube na sua última aparição na Série A.
Em 2022, no ano em que acabou rebaixado, o clube somava 18 pontos após 26 rodadas. São 14 pontos a menos que a campanha atual. De acordo com o Espião Estatístico, os 32 pontos colocam o Ju em uma posição confortável na briga pela permanência na Série A. São 78% de chances de continuar na elite.
O bom momento do Juventude ganha ainda mais destaque ao lembrarmos a pontuação final no ano da queda. Lanterna daquela edição, o Papo encerrou a competição com apenas 22 pontos e teve o rebaixamento decretado com quatro rodadas de antecedência. Essa pontuação foi batida pelo Alviverde ainda no primeiro turno deste ano.
Além da diferença em número de pontos conquistados, o time contabilizou somente três vitórias em toda aquela edição da competição. Enquanto isso, em 2024, já são oito vitórias em 26 partidas.
Apesar do cenário inspirar confiança na permanência, o discurso alviverde ainda é pautado pelos pés no chão. Para o zagueiro Zé Marcos, é necessário manter a ideia de pensar jogo após jogo.
– Pensamos um jogo de cada vez. A gente fala entre nós que cada jogo que a gente ganha um ponto, uma vitória, a gente vai criando uma gordura do Z-4. E eu acho que esse é o objetivo principal. E depois dentro, as expectativas são criadas. E é lógico que livrando o rebaixamento a gente vai começar a mirar um pouquinho na classificação para a Sul-Americana – comentou o defensor.
Com mais 12 partidas para disputar, o Juventude precisa de, pelo menos, mais quatro vitórias e um empate para chegar ao número de 45 pontos. Dessa forma, um aproveitamento superior aos 36% já será suficiente para a manutenção. No momento, o rendimento do Papo na competição é de 41%.
Na reta final, serão seis jogos como mandante e seis como visitante. O primeiro deles, neste sábado, às 16h, contra o Vitória, no Barradão. Em caso de triunfo no confronto direto, o time se distanciará ainda mais das últimas posições e pode até mesmo figurar na primeira metade da tabela."
"Análise: Juventude tropeça com novo descuido nos minutos finais, e sequência preocupa",Time gaúcho cede empate ao Bragantino nos minutos finais e terá quatro dos próximos cinco jogos com times da ponta da tabela,Roberto Peruzzo,"A cada rodada que passa, a tranquilidade pela campanha regular e sem sustos se transforma em angústia para o torcedor jaconero. Na manhã deste domingo, o Juventude, mais uma vez, pouco apresentou, mas encaminhava três pontos importantes. No entanto, o descuido rotineiro nos minutos finais custou caro. Com o empate cedido ao Bragantino, o time gaúcho segue próximo da zona de rebaixamento e a sequência de jogos reserva duelos apenas com clubes da ponta da tabela.
A igualdade como mandante aumenta ainda mais o sinal de alerta no Alfredo Jaconi. Isso porque, o clube é 12º com 33 pontos, cinco a mais do que o primeiro no Z-4.
Com desfalques, principalmente, no sistema ofensivo, o Juventude mudou de formação para enfrentar o Bragantino. A alternativa escolhida foi o ingresso de mais um volante, Luís Oyama, na vaga de um extrema. No decorrer da primeira etapa, o esquema não funcionou. Apesar de estar fora de casa, o Bragantino foi quem dominou as ações e o placar permaneceu zerado apenas por falta de capricho dos paulistas.
A atuação burocrática se assemelhava com as apresentadas nos jogos como visitante. Porém, uma mudança no intervalo mudou o cenário. O meia Mandaca entrou e logo com dois minutos em campo marcou para o Juventude, após cruzamento de João Lucas da direita.
A vantagem fez com que o Juventude buscasse administrar o resultado. A cada minuto que passava, a vitória ficava mais próxima. No entanto, as substituições de Pedro Caixinha melhoraram o Bragantino. Sem ímpeto para ampliar, o Papo passou a apenas se defender. Aos 40 minutos, essa postura foi penalizada. Em lançamento na área, Eduardo Santos cabeceou no canto do goleiro Gabriel para igualar.
O cenário de ceder pontos aos adversários nos minutos finais não é novidade na temporada. Na Copa do Brasil, por exemplo, o time levou gols nos lances derradeiros com o Corinthians nos dois jogos e diante do Fluminense. No Brasileiro, também contra Criciúma e Atlético-GO, mais recentemente.
Além disso, a sequência dos próximos cinco jogos do Juventude é bem ingrata. Os comandados de Jair Ventura enfrentarão quatro times que estão nas primeiras posições da tabela. Os desafios começam diante do Vasco (F), Palmeiras (C), Flamengo (F), Bahia (C) e Fortaleza (C).
Com 10 jogos restantes, o cálculo é simples para o Ju permanecer. O time de Caxias praticamente garantirá a manutenção na elite se vencer quatro partidas. Dessa forma, alcançará os 45 pontos."
"Mesmo após deixar a vitória escapar, Gerson Ramos afirma: ""Enaltecer este ponto conquistado""","Na manhã deste domingo, o Papo ficou no empate em 1 a 1 com o Bragantino, no Alfredo Jaconi.",Roberto Peruzzo,"O Juventude deixou dois pontos importantes pelo caminho na luta pela permanência na elite do futebol brasileiro. Em um confronto direito com o Bragantino no Alfredo Jaconi, o time gaúcho chegou a abrir o marcador, mas cedeu a igualdade já nos minutos finais. Com o empate em 1 a 1, o Papo aumentou a diferença para o Z-4 para cinco pontos, porém a vantagem pode cair consideravelmente ao término da rodada.
Sem contar com a presença do técnico Jair Ventura, suspenso pelo terceiro cartão amarelo, a equipe alviverde acabou sendo comandada pelo auxiliar técnico Gerson Ramos e pelo preparador físico Rodrigo Squinalli.
Mesmo a vitória escapando nos minutos finais com o gol sofrido aos 41 do segundo tempo, o auxiliar técnico alviverde avaliou como positivo o ponto conquistado visando a reta final da competição, mas pouco analisou o duelo diante dos paulistas.
— Primeiro eu quero fazer um agradecimento a todos do Juventude, toda diretoria, comissão técnica e jogadores. Tive uma experiência de comandar a equipe hoje na ausência do professor Jair e me deu total confiança, uma estratégia montada pra esse jogo e o Bragantino é muito qualificado também. É um ponto muito importante para a sequência nossa na competição — afirmou Ramos.
Diferente das partidas anteriores, o Ju entrou em campo apostando em um meio de campo mais povoado com quatro jogadores. Dessa forma, o ataque contou com Edson Carioca e Gilberto. Na etapa inicial, a mudança não se mostrou correta e o time foi dominado pelo Braga, mas sem sofrer o gol. Na volta para o segundo tempo, a entrada de Mandaca mandou o cenário.
O meia foi responsável, logo com dois minutos em campo, marcou o gol do Juventude. A vitória se encaminhava, mas, mais uma vez, um gol sofrido nos lances finais acabou com o sonho de somar três pontos.
— É uma estratégia para este jogo e o segundo tempo voltamos com Mandaca, que entrou muito bem. Enaltecer este ponto conquistado, a garra, a determinação de todos os jogadores. Tenho certeza que vamos juntos conquistar os nossos objetivos — concluiu.
Com o ponto somado, o Ju segue em situação delicada no Campeonato Brasileiro. No momento, ocupa décima segunda posição com 33 pontos, sendo apenas cinco na frente da zona de rebaixamento.
No próximo sábado, às 21h, o time gaúcho enfrenta o Vasco da Gama, em São Januário, pela 29ª rodada da Série A."
