title,subtitle,author,article_content
"Ponte confia em classificação do Botafogo contra Peñarol e alfineta: ""Não somos o Flamengo""",Lateral enaltece qualidades do Alvinegro para semifinal da Libertadores,Redação do ge,"Mateo Ponte, lateral-direito do Botafogo, vê o time chegando com força nas duas frentes que está inserido: no Brasileirão, é líder isolado; na Conmebol Libertadores, disputará a semifinal contra o Peñarol. Para o defensor, não há uma preferência de possível título para o clube.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
- Acho que parte dos torcedores vão para os dois lados porque o ano passado ficou engasgado. Foi quando eu cheguei, estávamos vários pontos de vantagem na frente (na liderança) e acabamos perdendo o campeonato. As pessoas estão engasgadas... Estamos com boa sensação de vencer e com esperança, assim como o Peñarol, de ir à final - afirmou em entrevista à rádio ""Sport 890"".
A classificação do Peñarol evitou uma semifinal entre Botafogo x Flamengo na competição internacional. O camisa 4 alfinetou o rival e lembrou da situação dos clubes na tabela do Brasileirão ao analisar o confronto da semifinal.
+ Almada está em pré-lista da Argentina, e Botafogo pode ter seis jogadores convocados na Data Fifa
- O Peñarol é respeitado internacionalmente por quão grande é, mas nós estamos nos fazendo respeitar, porque o time que o Peñarol eliminou (Flamengo) está 9 pontos atrás de nós na tabela na principal da liga da América do Sul e aí dá para ter uma noção também. Não somos o Flamengo e estamos analisando e os respeitamos.
Ao ser questionado sobre nomes conhecidos e qualidade da equipe comandada por Artur Jorge, Ponte reiterou a aposta em um final feliz para o time brasileiro.
- Não sei dizer se não temos grandes nomes porque eu acho que para do meio-campo para frente compraram jogadores de 20 milhões. Obviamente não são pelos valores, mas temos dois jogadores na seleção brasileira, um na Argentina e outro na Venezuela. É capaz de algumas pessoas não saibam o que é o Botafogo, mas elas vão conhecê-lo e vão conhecer o estilo de jogo que temos. Nosso campo não é normal, é um sintético que estamos acostumados e temos nosso jogo. Esse time não se cansa, corre, pressiona os 90 minutos e joga um futebol que dizem que é o melhor do Brasil (risos). Mas é melhor mostrar isso dentro de campo - completou.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
"Textor rebate dirigente do Grêmio e diz que houve pênalti não marcado em Tiquinho, do Botafogo",Empresário norte-americano ironiza Antônio Brum,Redação do ge,"Depois de o vice-presidente do Grêmio citar John Textor e criticar o lateral Vitinho, do Botafogo, o acusando de simulação, o dono da SAF alvinegra rebateu Antônio Brum nas redes sociais com ironia.
Brum ironizou Textor, citando os relatórios da Good Game! que apontaram indícios de manipulação de resultados no Campeonato Brasileiro de 2023. Textor rebateu e ironizou o dirigente do Grêmio, afirmando que o Botafogo não está feliz com a conquista de um ponto na partida e que o clube carioca foi prejudicado pela arbitragem. Para Textor, houve pênalti em Tiquinho Soares.
O lance em questão ocorreu aos 41 minutos do primeiro tempo, quando o camisa n ingressou na área para receber passe de Matheus Martins, mas sofreu o choque de Gustavo Martins, do Grêmio. A torcida reclamou nas arquibancadas do Mané Garrincha, mas o árbitro mandou seguir.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
— Sr. Brum, por favor, informe-se sobre meu trabalho antes de se envergonhar. Minhas preocupações têm se concentrado na manipulação de jogos obtida por meio do baixo desempenho dos jogadores. Também solicitei especificamente a investigação de um número raro de árbitros que cometeram erros óbvios em jogos que acreditamos terem sido manipulados. Esses podem ter sido erros honestos, mas acho que a responsabilidade é importante mesmo assim.
— Acredito que, quando se acalmar, você também apoiará nossos esforços para combater a manipulação de partidas e entenderá a diferença entre minha cruzada contra a manipulação de partidas e seu discurso emocional sobre erros honestos de árbitros. Por fim, para responder à sua pergunta, não estou feliz com o ponto conquistado. Acredito que deveríamos ter jogado melhor, para ganhar os três pontos, e também acredito, como nossa tecnologia demonstra, que deveríamos ter recebido um pênalti como resultado da falta em Tiquinho Soares. Assim é o futebol. Boa sorte no restante da temporada.
A expulsão de Monsalve no fim do empate do Grêmio com o Botafogo foi o que gerou as críticas do vice-presidente de futebol Antônio Brum. O dirigente criticou a decisão do árbitro Maguielson Lima Barbosa e também o lateral-direito Vitinho, atingido pelo meia gremista no lance.
O lance ocorreu aos 40 minutos do segundo tempo. Monsalve usou o braço para fazer a proteção antes de uma cobrança de lateral e atingiu o rosto do rival. A reclamação gremista aponta que não houve a intensidade devida para a expulsão.
— A postura tem que mudar da arbitragem e dos jogadores também. A simulação do Vitinho é uma vergonha para o futebol brasileiro. O mesmo jogador vai para a Inglaterra e não simula desse jeito. Fica de pé ligeirinho — disse Antônio Brum.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
"Almada volta a ser chamado pela seleção argentina, e Botafogo tem seis convocados na Data-Fifa","Meia vai duelar com Savarino, também convocado, nas Eliminatórias",Redação do ge,"O Botafogo tem seis jogadores convocados para a próxima Data-Fifa. O último a ser chamado foi o meia Thiago Almada, a maior contratação da história do clube e do futebol brasileiro. O jogador volta à seleção principal depois de pouco mais de um ano.
Ele tinha sido convocado pela última vez em junho de 2023, quando participou de dois amistosos - o último, contra a Indonésia. Na mesma convocação, contra o Panamá, chegou a fazer um gol na vitória por 2 a 0.
Almada é considerado uma das grandes joias do futebol argentino e esteve na Copa do Mundo de 2022. Depois de um tempo de adaptação ao Brasil, vindo do Atlanta United, dos Estados Unidores, ele vive bom momento no Botafogo.
O argentino é titular no time de Artur Jorge, fez dois gols nos últimos cincos jogos e ainda converteu um dos pênaltis na decisão por pênaltis contra o São Paulo, que garantiu vaga na semifinal da Conmebol Libertadores.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
Além de Almada, Savarino foi chamado para defender a Venezuela. Ele tem sido convocado com frequência pelo pelo treinador Fernando Batista. Com isso, o Alvinegro cederá seis jogadores seleções após o jogo contra o Athletico-PR, no próximo sábado.
Os dois meias, inclusive, vão se enfrentar no primeiro jogo, no duelo entre Venezuela e Argentina, no dia 10 de outubro, pela 9ª rodada. Na 10ª, a Venezuela pega o Paraguai, de Gatito, também convocado, e a Argentina enfrenta a Bolívia.
Leia mais sobre o Botafogo:
+ Botafogo encaminha jogo contra o Criciúma no Maracanã
+ Veja como a alteração de datas do Brasileiro pode impactar o Botafogo




+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
Saiba quem foi o único argentino do Botafogo convocado para a seleção antes de Almada,Rodolfo Fischer jogou no Botafogo há 54 anos,Jéssica Maldonado,"Com Almada, o Botafogo volta a ter um jogador na seleção argentina após 54 anos. O único que defendeu o Alvinegro e os hermanos se chamava Rodolfo Fischer, também conhecido como El Lobo. Ele passou pelo Rio de Janeiro entre 1972 e 1976.
No período de oito anos vestindo as cores do San Lorenzo, seu primeiro clube, ele se tornou protagonista pelo seu país. Inclusive, participou de dois jogos preparatórios para a Copa do Mundo de 1970, contra Brasil e Uruguai. Ele foi titular contra o Brasil, em partida realizada no Beira-Rio, em Porto Alegre, que terminou com vitória da Argentina por 2 a 0.
- Foi considerado um dos maiores pontas de lança, termo utilizado na época para definir um centroavante, do futebol sul-americano. E considerado um dos maiores atacantes do futebol argentino. Nome recorrente na seleção do seu país, realizou o seu primeiro jogo no ano 1967, permanecendo como titular ao longo de todo ano de 1968 - contextualizou Ricardo Macieira, coordenador e curador do Museu Botafogo.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
No Botafogo, ele chegou em 1972 e seguiu sendo chamado para defender o país vizinho. Fischer é o maior artilheiro estrangeiro da história do clube, com 68 gols.
- Já como jogador do Botafogo, Fischer foi destaque da Argentina, na Taça Independência, realizada no Brasil no ano de 1972, conhecida como Mini Copa. Ele marcou cinco gols. El Lobo, foi o primeiro jogador argentino do Botafogo a ser convocado para jogar pela seleção do seu país. O ano era 1972 completou Ricardo.
Leia mais sobre o Botafogo:
+ Almada volta a ser chamado pela seleção argentina, e Botafogo tem seis convocados na Data-Fifa
+ Botafogo encaminha jogo contra o Criciúma no Maracanã
El Lobo ficou quatro anos no Alvinegro e foi importante nas campanhas, chegando, inclusive, à semifinal da Libertadores em 1973. Teve ao seu lado o ídolo Jairzinho. Ele fez 180 jogos, sendo um dos estrangeiros que mais vestiu a camisa do Botafogo.
+ Leia mais notícias do Botafogo
Fischer ainda teve uma breve passagem pelo Vitória antes de voltar ao San Lorenzo. O ex-atacante fez parte da campanha histórica do título argentino de 1968, conquistado de forma invicta. Na ocasião, a equipe ficou conhecido como ""Los Matadores"" e teve Fischer como artilheiro. Ele ainda foi o artilheiro do campeonato nacional de 1969. Em 272 partidas pelo time argentino, ""El Lobo"" marcou 141 gols.
Fischer faleceu aos 76 anos, em outubro de 2020.
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
"Artur Jorge admite baixa produção em empate do Botafogo: ""Não foi um bom dia para nós""",Veja como foi a coletiva do treinador depois do empate sem gols com o Grêmio,Sergio Santana,"O Botafogo não conseguiu mostrar o ímpeto dos últimos dos jogos e ficou no empate em 0 a 0 com o Grêmio no estádio Mané Garrincha, neste sábado, pelo Brasileirão. O resultado manteve o Alvinegro na liderança da competição, mas permitiu uma aproximação do vice-líder Palmeiras. No fim da partida, o técnico Artur Jorge admitiu a baixa produção de sua equipe.
— A análise é em função do resultado, não estamos satisfeitos. Temos que admitir que não tivemos um dia muito bom, a verdade é essa. No jogo todo, criamos poucas situações de gol e finalizamos poucas jogadas, tivemos posse de bola muito passiva, com pouco ataque à baliza. Há dias assim, temos que admitir que não foi um bom dia para nós hoje. Temos que virar a página rapidamente porque essa não é a identidade desse Botafogo — disse o técnico.
— Temos que perceber que podemos voltar a ter momentos como esse nos 10 jogos que faltam, mas a verdade é que não temos ninguém à frente. Temos que retirar aqui o que dá para retirar desse jogo, temos que ter essa humildade de reconhecer e assumir que hoje não foi um jogo da maneira que acostumamos a ver o Botafogo - completou.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
Na última quarta-feira, o Alvinegro conquistou uma vaga na semifinal da Libertadores e, neste sábado, teve de mandar seu jogo em Brasília em razão de um acordo com o Grêmio firmado no meio do ano, em razão das enchentes que ocorreram no Rio Grande do Sul.
Para o técnico, esses fatores podem ter afetado seus atletas, mas ele preferiu se apegar ao desempenho em campo para analisar o empate:
— Quando falo do contexto, falo do jogo em si concretamente, não falo dos jogos anteriores. Fato que hoje tivemos um Grêmio que procurou defender sempre muito próximo de sua área, que se defendeu com uma linha de seis e nos retirou um pouco do espaço... esse é o contexto que eu falo. Se quiser acrescentar o fato de termos jogado aqui dois dias depois de ter feito um jogo com o grau de exigência física e mental que tivemos. Faz parte. Se quiséssemos jogar amanhã no Nilton Santos, seria mais um dia para nós. Seria muito para falar, então, vamos falar apenas sobre a exibição.
O Botafogo volta a campo no próximo sábado para enfrentar o Fortaleza, em busca de se manter na liderança do Brasileirão.


Arbitragem
— Sobre arbitragem, não vou falar. Não quero correr o risco de ser julgado por aquilo que vou dizer, recuso-me a falar sobre arbitragem. Vocês tem a avaliação de vocês. Tenho que dizer que o nosso gol anulado foi bem anulado, não posso mais falar sobre isso porque não vou justificar o nosso rendimento com questões de arbitragem.
Pausas para descansar
— De fato nós fechamos hoje um ciclo de uma sequência de jogos de grande exigência e com pouco espaço de tempo. Era um ciclo que nos custa não ter ganho hoje, queríamos ter terminando esse ciclo com mais uma vitória porque sabemos que teremos uma semana completa até o próximo jogo.

— Sobre a questão do Brasileirão, faz parte de estarmos na frente, de estar nas competições e estar para ganhar. Quando falo de ganhar, falo de jogos e de títulos. É a vida que queremos, é nesse sentido que queremos estar posicionados. Sabemos que é importante termos a capacidade de manter essa liderança. Temos 10 jogos pela frente para conservar essa liderança. Animicamente poderá se um estímulo para nós o fato de chegar na semifinal da Libertadores na frente (liderança), mas não vai ser decisivo. Mas é sempre importante porque vai sempre valorizar. Se mantivermos (a liderança), é porque ganhamos. Essa será sempre a abordagem da equipe. Vamos procurar sempre vencer e vencer para estar na frente e na disputa das principais competições.
Desgaste físico
— Todos nós a esta altura queríamos estar na frente do Brasileirão, na semifinal da Libertadores, da Copa... As equipes grandes querem isso, querem chegar às decisões. Nós temos duas competições. O foco tem que ser em nós, não tenho o hábito de falar muito do adversário, ao contrário de quem fala muito do Botafogo. Eu me preocupo em falar muito dos meus jogadores, daquilo que eu consigo controlar. Vamos procurar manter a consistência para continuar na frente do Brasileirão e atacar bem a semifinal da Libertadores. São momentos, será um novo ciclo dentro de uma temporada de grande exigência que vamos atacar a partir da próxima semana.
Presença da torcida
— Eu lamento hoje não ter premiado essa torcida, que de fato foi extraordinária. Não só hoje, que nos apoiou nos 90 minutos, mas no dia de ontem, hoje quando deixamos o hotel. Foram muito importantes e calorosos no apoio à toda equipe. Fica meu agradecimento por isso. Lamento não poder hoje dar os três pontos para eles.
— Nós temos duas competições e vamos trabalhar nelas em 100%, com foco máximo, sem qualquer tipo de prioridade. A essa altura, queremos ser capazes de competir nas duas com a mesma ambição.
Poucas chances aproveitadas
— Hoje pecamos uma equipe que se defendeu com uma linha de seis e criou dificuldades. Hoje tivemos pouca capacidade para encontrar formas de ultrapassar essa barreira. Mas isso não preocupa porque podemos olhar o que já foi destacado por vocês. Acabamos não tendo a capacidade de chegar mais vezes, criar mais, finalizar mais vezes para ficarmos mais próximos do gol
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
Botafogo corre o risco de não poder mandar dois jogos do Brasileiro por causa de shows no Nilton Santos,Duelos contra Criciúma e Vitória podem sofrer alterações,Redação do ge,"O Botafogo corre o risco de não poder mandar dois jogos no Nilton Santos na reta final do Campeonato Brasileiro. Com shows de Bruno Mars e Forfun previstos para outubro e novembro no estádio, o clube terá que mandar pelo menos um jogo em outro local.
Ainda não há desmembramento total da tabela de jogos por parte da CBF, mas o clube está analisando as possibilidades de locais e operação para os jogos. Ainda não há definição.
O jogo contra Criciúma está previsto para o dia 20 de outubro, mesma dia de um dos shows do cantor americano - serão três, o que dificultaria uma operação especial para o mando na casa alvinegra. Em novembro, a partida contra o Vitória, prevista para 24 de novembro, também deve sofrer alteração de local ou logística em função da apresentação da banda brasileira, marcada para um dia antes.
Em outubro de 2023, o Botafogo fez uma operação especial no show de Roger Waters, com desmontagem da estrutura em oito horas, o que viabilizou a disputa do jogo contra o Cuiabá. A execução de toda a operação foi realizada pela produtora, mas com auxílio do clube que apresentou quais deveriam ser as prioridades na hora da desmontagem e participou da estratégia.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp


Leia mais sobre o Botafogo:
+ Botafogo fecha ""ciclo de exigência"" com classificação épica, convocações e liderança; veja balanço
+ Textor rebate dirigente do Grêmio e diz que houve pênalti não marcado em Tiquinho, do Botafogo
O próximo compromisso do Botafogo é neste sábado, contra o Athletico-PR, na Ligga Arena, em Curitiba. O Glorioso é o líder com 57 pontos, um à frente do Palmeiras, que é o segundo.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
"Botafogo fecha ""ciclo de exigência"" com classificação épica, convocações e liderança; veja balanço",Sequência de cinco jogos em 14 dias termina com saldo positivo para o Alvinegro,Sergio Santana,"O Botafogo acabou de fechar uma sequência de cinco jogos em duas semanas. Internamente, Artur Jorge costuma classificar estes períodos como ""ciclos de grande exigência"". Apesar do empate sem gols com o Grêmio, no último sábado, em Brasília, o saldo do Alvinegro é positivo.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
Jogos no período:


Abaixo, o ge mostra os principais pontos que envolveram o time carioca neste ciclo.


O ponto principal, claro, é a classificação sobre o São Paulo nas quartas de final da Conmebol Libertadores. Após dois empates, o Alvinegro eliminou o Tricolor nos pênaltis no Morumbis. Apesar dos resultados, a equipe comandada por Artur Jorge foi superior tecnicamente ao adversário em boa parte do confronto - principalmente no jogo de ida.
+ Torcida do Botafogo provoca São Paulo com cartaz em avião no litoral: ""Te buscamos em casa""


O jogo no intervalo entre os confrontos da Libertadores foi um clássico contra o Fluminense. A partida foi amarrada, com as duas equipes tentando e com atuações puxadas para o lado físico. Prevaleceu quem soube aproveitar o erro técnico: aos 50 minutos do 2º tempo, Gregore roubou a bola de Felipe Melo dentro da área e tocou para Luiz Henrique apenas completar para o fundo das redes.


Maior contratação da história do futebol brasileiro, Thiago Almada já vinha mostrando boas atuações, mas muitas vezes atuando mais como um facilitador de jogadas do que propriamente um finalizador. O camisa 23 (ou 18, número que atua na Libertadores) marcou os dois primeiros gols pelo Botafogo justamente neste ciclo - ambos foram decisivos: contra o Corinthians, o tento deu a vitória; diante do São Paulo, abriu o placar no Morumbis.
+ Almada justifica investimento milionário do Botafogo em atuação épica na Libertadores


A boa fase do Botafogo foi notada por Dorival Júnior. O técnico da Seleção convocou Luiz Henrique e Igor Jesus na última sexta-feira. O primeiro volta à Canarinho após a última Data Fifa; o segundo viverá a primeira experiência com o time principal do Brasil.
+ Botafogo recusou proposta de R$ 60 milhões por Igor Jesus antes mesmo de estreia


Houve também a chegada de ""reforços internos"". Afastado por mais de dois meses por causa de lesão na tíbia direita, Júnior Santos voltou aos gramados contra o Grêmio. A previsão inicial era de uma volta apenas para o meio de outubro, mas o camisa 11 se sobressaiu fazendo recuperação em três períodos. Em campo, ele fez a jogada do gol anulado de Bastos.


Nem tudo são flores, claro. O empate com o Grêmio representou uma aproximação do Palmeiras, que superou o Atlético-MG. Apenas um ponto separa o Alvinegro da liderança do Brasileirão agora. As equipes voltam aos gramados no próximo sábado: os cariocas enfrentam o Athletico-PR e os paulistas medem forças com o RB Bragantino - ambos fora de casa.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
Botafogo iguala desempenho do 2º turno do Brasileirão de 2023 com dez rodadas de antecedência,Alvinegro tem mesma pontuação que em toda a metade do último após jogo contra Grêmio,Redação do ge,"O segundo turno do Botafogo no atual Brasileirão já é igual, pelo menos no que diz respeito à pontuação, que o da competição do ano passado por inteiro. Com o empate com o Grêmio, na noite deste sábado, no Mané Garrincha, o Alvinegro chegou a 17 pontos somados na metade final do torneio.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
A equipe somou 17 pontos em todo o segundo turno de 2023. Vale lembrar que, após o melhor primeiro turno da história e larga vantagem na liderança, o Alvinegro acumulou uma sequência de 11 jogos sem vencer e terminou em 5º.
Isso ficou para trás. A campanha de 2024 já se igualou - e com mais partidas a serem disputadss. São cinco vitórias - número também superior ao da última competição -, dois empate e duas derrotas. Restam dez rodadas para o fim do Brasileirão.
+ Artur Jorge admite baixa produção em empate do Botafogo: ""Não foi um bom dia para nós""
A equipe comandada por Artur Jorge ocupa a liderança do Brasileirão com 57 pontos. O clube carioca volta aos gramados no próximo sábado para enfrentar o Athletico na Ligga Arena.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
"Almada está em pré-lista da Argentina, e Botafogo pode ter seis jogadores convocados na Data Fifa",Alvinegro é comunicado que camisa 23 está em lista larga dos atuais campeões mundiais,Jéssica Maldonado,"Thiago Almada está pré-convocado para a seleção da Argentina. O meio-campista do Botafogo foi chamado por Leonel Scaloni em uma lista larga com cerca de 50 nomes para partidas contra Venezuela e Bolívia, pelas Eliminatórias, em outubro.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
A lista oficial, com 23 nomes, será anunciada nessa semana. Além do meia, o Botafogo pode ter outros cinco jogadores envolvidos em suas respectivas seleções: Bastos, já convocado por Angola, Gatito Fernández, no Paraguai, Igor Jesus e Luiz Henrique, lembrados por Dorival Júnior no Brasil, e Savarino, na pré-lista da Venezuela - o camisa 10 muito provavelmente estará na lista final.




+ Veja o que o Botafogo precisa aproveitar na semana cheia
Almada é a contratação mais cara da história do futebol brasileiro, adquirido por US$ 25 milhões (R$137,4 milhões) junto ao Atlanta United, dos Estados Unidos, em julho.
O camisa 23 marcou dois gols em 12 jogos pelo Alvinegro, incluindo a bola na rede no empate contra o São Paulo na partida das quartas de final da Conmebol Libertadores.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
Veja como a alteração de datas do Brasileiro pode impactar o Botafogo,Jogo contra o Criciúma é marcado para a sexta-feira (18/10),Redação do ge,"A polêmica troca de datas da Copa do Brasil interferiu nas rodadas 30 e 31 do Campeonato Brasileiro. A CBF detalhou datas e horários das partidas, que ainda não haviam sido desmembradas. A entidade antecipou três jogos para sexta-feira, um deles será entre Botafogo e Criciúma.
E como isso impacta o Botafogo? O ge levantou alguns pontos dessas mudanças:


Com três shows do cantor Bruno Mars previsto para outubro, o Botafogo está definindo o local para mandar o jogo contra o Criciúma. O acordo está encaminhado para ser o Maracanã, o que seria a segunda opção do Alvinegro.
Antes, em entrevista ao Seleção Sportv, o vice-presidente geral do Vasco, Paulo Salomão, afirmou que o jogo seria em São Januário. No entanto, com as trocas em função dos jogos da Copa do Brasil, ele disse ""não saber onde seria"" a partida.
Isso porque o Vasco, diferente do que tinha sido marcado inicialmente, joga a partida de volta contra o Atlético-MG no dia 19 de outubro, um dia depois da, agora, nova data do jogo do Alvinegro.


+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
Datas e horários dos jogos do Botafogo:




O jogo contra o Criciúma, que ainda não tem local definido, será o último antes do encontro com o Peñarol. Com a nova data sendo na sexta-feira, o Botafogo ganha pelo menos um dia a mais nos preparativos para o jogo de ida da semifinal da Libertadores.
A partida está marcada para 23 de outubro, ou seja, o time terá três dias ""cheios"" para treinos com foco no planejamento do duelo com os uruguaios.


Após o próximo jogo contra o Athletico-PR, sábado, o Botafogo entra em mais uma parada da Data-Fifa. O clube já tem cinco jogadores convocados, e o número pode aumentar, caso Thiago Almada seja chamado pela Argentina. O máximo de jogadores chamados para a seleções nesse ano foram quatro.
O período servirá para a disputa das eliminatórias da Copa, que vão do dia 7 a 15 de outubro. Com isso, os atletas que estiverem com suas seleções terão um dia a menos de ""descanso"" e trabalho no Alvinegro. O último jogo do Brasil, por exemplo, será no dia 15, contra o Peru.
Luiz Henrique e Igor Jesus terão dois dias de treino em preparação para o duelo. Se a data inicial, de sábado, fosse mantida, eles teriam um dia a mais de reintegração.
Leia mais sobre o Botafogo:
+ Na semifinal da Libertadores, Botafogo terá maior número de jogos na temporada desde 2008
+ Perto da aposentadoria, Rafael, do Botafogo, se prepara para curso de gestão na CBF
Líder do Brasileirão, o Botafogo entra em campo neste sábado, às 16h, contra o Athletico-PR, pela 29ª rodada do Brasileirão, na Ligga Arena.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
