title,subtitle,author,article_content
"Sem Alario, Coudet comanda coletivo para reservas do Inter","Comissão técnica prioriza recuperação física dos titulares. Nenhum dos lesionados volta contra o Athletico, no domingo. Time alternativo pode jogar pela Sul-Americana",Bruno Ravazzolli,"Eduardo Coudet orientou um trabalho coletivo dos reservas contra o time sub-20 na tarde desta sexta-feira, no CT Parque Gigante. Lucas Alario foi desfalque na atividade. O treino para os titulares foi mais leve, focado na recuperação física. Nenhum dos atletas machucados terá condições de retornar contra o Athletico, no domingo.
+ O ge está no WhatsApp! Siga o canal ge Inter
A imprensa teve acesso ao gramado do complexo colorado por exatos oito minutos. Foi possível visualizar apenas o aquecimento dos suplentes. A ausência do centroavante argentino não foi justificada pelo clube.
A comissão técnica separou os seguintes jogadores para o jogo-treino contra os garotos da base: Anthoni; Hugo Mallo, Igor Gomes, Robert Renan e Bernabei; Rômulo, Matheus Dias, Bruno Gomes e Gustavo Prado; Gabriel Carvalho e Lucca. Esse time pode ser utilizado na próxima quinta, no Equador, contra o Delfín, pela Sul-Americana.
Para medir forças com o Athletico, às 16h de domingo, Coudet pode preservar pontualmente e promover mudanças táticas e de peças devido ao piso sintético da Arena da Baixada e à sequência de jogos - o duelo com o Furacão será o quarto em 11 dias.
Atletas como Mercado, Thiago Maia, Bruno Henrique e Alario podem ficar fora da partida em Curitiba. Um provável Inter tem: Rochet; Bustos, Vitão, Igor Gomes (Robert Renan) e Renê; Rômulo (Thiago Maia), Bruno Gomes e Mauricio; Wesley, Wanderson (Lucca) e Borré.
Os jogadores entregues ao departamento médico não terão condições de voltar ao time contra o Furacão. Fernando (lesão no ombro direito), Aránguiz (entorse no tornozelo direito), Alan Patrick e Hyoran (ambos com lesão muscular na coxa esquerda) e Valencia (edema ósseo no pé direito) devem retomar as atividades com bola nos próximos dias.
🎧 Ouça o podcast ge Inter 🎧
+ Assista: tudo sobre o Inter no ge e na TV"
"Alan Patrick vê o Inter ""se desestabilizar"" em derrota e fala sobre volta: ""Tempo de incertezas""",Meia e capitão se manifesta depois da derrota por 2 a 1 para o Belgrano na Copa Sul-Americana,Redação do ge,"O Inter voltou a jogar após um mês na noite desta terça-feira. A derrota para o Belgrano na Arena Barueri foi definida em três minutos, o que o meia Alan Patrick rotulou como um momento que a equipe se desestabilizou no jogo. Além disso, o camisa 10 falou sobre o período sem atuar.
+ Veja como ajudar as vítimas das enchentes no RS
+ O ge está no WhatsApp! Siga o canal ge Inter
A última partida colorada havia sido dia 28 de abril. O período ainda teve 12 dias sem treinar pelos reflexos das enchentes em Porto Alegre. Alan Patrick falou sobre o impacto de todo o contexto na derrota pela Sul-Americana.
- É muito tempo sem jogar, muito tempo de incertezas, sofrimento junto com o nosso povo gaúcho, mas tivemos que retomar durante o período. Sabíamos que não tinha tempo para ficar parado sofrendo. Tínhamos que voltar e voltamos, mas lógico que por mais que a gente treina forte, é o jogo que dá o ritmo. A cada jogo vamos melhorar a performance física. Não vejo outro caminho a não ser continuar trabalhando forte e buscar os objetivos - destacou Alan Patrick.
O Inter saiu na frente com Borré na primeira etapa. Mas levou a virada com dois gols de Chavarría em um intervalo de três minutos. O capitão admitiu que a equipe sentiu o primeiro gol sofrido, que saiu após um erro de Renê na saída de bola.
- Foram 3 minutos se não me engano que a equipe deu uma desestabilizada e sofremos dois gols. Tínhamos o controle da partida. Fizemos o 1 a 0 com autoridade. Faltou o entendimento dentro da partida. Mas enfim, serve de lição, continuar trabalhando que temos dois jogos com a oportunidade de buscar duas vitórias - completou.
Com a derrota, o Inter não pode mais atingir a primeira colocação do Grupo C. Assim, se conseguir passar de fase na Sul-Americana, precisará disputar a repescagem contra um terceiro colocado dos grupos da Conmebol Libertadores.


+ Assista: tudo sobre o Inter no ge e na TV"
"Súmula relata ofensa do presidente do Inter ao árbitro: ""Você é um safado""",Presidente colorado teria se exaltado contra a arbitragem após o fim da partida,Redação do ge,"O árbitro Felipe Fernandes de Lima, que apitou a derrota do Inter para o Athletico-PR, na tarde de domingo, relatou ter sofrido ofensas do presidente colorado, Alessandro Barcellos. Segundo relato em súmula do jogo, Barcellos teria chamado o árbitro de ""safado"".
+ O ge está no WhatsApp! Siga o canal ge Inter
Um dos motivos da exaltação de Barcellos, teria sido as punições sofridas por jogadores colorados durante a partida. No total, cinco jogadores do Inter receberam cartão amarelo: o lateral-direito Hugo Mallo, os zagueiros Robert Renan e Vitão, o volante Rômulo e o atacante Wesley.
– Após o término da partida, quando a equipe de arbitragem se deslocava para o vestiário, na zona mista, fui abordado pelo senhor Alessandro Barcellos, presidente da equipe do Internacional, que proferiu de maneira grosseira e desrespeitosa as seguintes palavras: ""Você é um safado"". Relato que me senti ofendido em minha honra e dignidade – registrou o árbitro.
Veja também
+ Borré vive ""zica"" em início no Inter, mas ganha apoio para deslanchar
+ Coudet se diz orgulhoso do Inter em derrota e vê boa atuação
Felipe Fernandes de Lima chegou a se confundir com os zagueiros colorados e expulsou Vitão por engano. Logo em seguida, corrigiu o problema. Cancelou o vermelho e deu apenas o cartão amarelo para o zagueiro.
Por conta das ofensas à equipe de arbitragem, o mandatário colorado pode ser denunciado pela Procuradoria do Superior Tribunal de Justiça Desportiva (STJD) e sofrer punição.
O Inter perdeu por 1 a 0 para o Athletico e sofreu a primeira derrota no Brasileirão. O time de Eduardo Coudet volta a campo na próxima quinta-feira, às 23h (de Brasília) contra o Delfín, no Equador, pela Copa Sul-Americana. Pelo Brasileirão, o colorado encara o Atlético-GO, domingo, às 20h no Beira-Rio.


+ Assista: tudo sobre o Inter no ge e na TV"
Goleiro Ivan chega a Porto Alegre para se apresentar ao Inter,"Ivan é o terceiro reforço a se apresentar. Na noite de domingo, torcida colorada fez festa para Robert Renan",Redação do ge,"O goleiro Ivan desembarcou no início da tarde desta segunda-feira em Porto Alegre. O reforço colorado irá se integrar aos trabalhos de pré-temporada no CT Parque Gigante e é o terceiro contrato a chegar ao clube.
+ O ge está no WhatsApp! Siga o canal ge Inter
O goleiro, que atuou pelo Vasco no ano passado, foi adquirido pelos gaúchos em uma negociação com o Corinthians, que recebeu 20 % de Carlos Miguel e uma compensação.
Ivan aceitou a investida pela oportunidade de atuar. Apesar de chegar como opção a Sergio Rochet, o jogador de 26 anos entendeu o movimento, até pelo fato de o uruguaio ser presença constante na seleção de seu país e nome certo para a disputa da Copa América. Neste ano, o Brasileirão não parará durante o torneio continental.
Revelado pela Ponte Preta e com passagens pelas seleções de base, Ivan não conseguiu sequência após rumar ao Corinthians, em 2022. Entre Timão, Zenit, da Rússia, e Vasco, foram apenas 10 partidas.
Ivan é o terceiro reforço a chegar a Porto Alegre para se incorporar ao elenco. Antes, o meia Hyoran e o zagueiro Robert Renan já haviam se apresentado. O centroavante Lucas Alario, já contratado, tem chegada prevista para quarta-feira


Antes de Ivan, a chegada de um reforço colorado movimentou a torcida. Na noite de domingo, o zagueiro Robert Renan foi recepcinado com festa de torcedores no Aeroporto Salgado Filho. O defensor assinou por uma temporada com o Colorado e pode render cerca de R$ 20 milhões se deixar o Inter na janela do meio do ano, negociado pelo Zenit.
O jogador saiu em área restrita, mas deixou o espaço para saudar os colorados e chegou a vestir roupas das torcidas organizadas e tocou os instrumentos musicais levados pelos torcedores.
Ouça o podcast ge Inter 🎧
+ Assista: tudo sobre o Inter no ge e na TV"
"Inter engatilha contratação do meia Hyoran, livre no mercado","Jogador de 30 anos foi uma indicação do técnico Eduardo Coudet, com quem trabalhou no Atlético-MG",Bruno Ravazzolli,"O Inter engatilhou a contratação de Hyoran, livre no mercado após não renovar contrato com o Atlético-MG. O meia de 30 anos foi uma indicação do técnico Eduardo Coudet.
+ O ge está no WhatsApp! Siga o canal ge Inter
O jogador está no radar colorado há algumas semanas. As tratativas estão avançadas, mas ainda faltam detalhes para o acerto. A informação foi divulgada pelo jornalista Luiz Carlos Reche e confirmada pelo ge.
Hyoran é visto como uma boa opção no mercado para qualificar o setor de meio-campo e ser uma alternativa a Alan Patrick, titular da posição. Mauricio, De Pena e Lucas Ramos são as outras peças disponíveis no setor.
O atleta ex-Galo disputou 35 jogos no último ano, a maioria sob comando de Chacho, à época treinador do Atlético. Foram quatro gols e duas assistências. O meia rompeu os ligamentos do tornozelo direito em junho e depois perdeu espaço com Felipão. Não atua desde 9 de agosto.
Veja também:
+ Inter envia advogado à Alemanha para fechar com Borré
+ Colorado encaminha empréstimo de Heitor ao Guarani
O meia foi comprado pelo Atlético-MG junto ao Palmeiras por R$ 7,5 milhões em 2021. Ele soma passagens por Bragantino e Chapecoense.
O Inter já contratou o zagueiro Robert Renan, o centroavante Alario e acertou com o goleiro Ivan neste sábado. O volante Fernando está próximo do anúncio. A direção enviou um representante à Alemanha para fechar com Borré e trabalha para encontrar um lateral-esquerdo.
O elenco colorado se reapresenta na manhã da próxima segunda-feira no CT Parque Gigante para o início da pré-temporada. A estreia no Campeonato Gaúcho está agendada para dia 21 de janeiro, domingo, contra o Avenida, no Beira-Rio.


+ Assista: tudo sobre o Inter no ge e na TV"
Keiller perde espaço no Inter e aguarda proposta para definir futuro,"Aos 27 anos e reserva imediato de Rochet, o goleiro pode ser negociado em caso de proposta atrativa a partir da abertura da janela, em janeiro",Gabriel Girardon,"Keiller perdeu espaço no Inter e tem chances reais de deixar o estádio Beira-Rio em 2024. O goleiro de 27 anos tem status de negociável no elenco e aguarda a abertura da janela de transferências para definir o futuro.
+ O ge está no WhatsApp! Siga o canal ge Inter
O clube gaúcho não vai se opor a uma eventual saída caso a oferta seja atrativa para todas as partes. O valor pretendido pelo clube gaúcho para liberá-lo é de aproximadamente 1,5 milhão de euros (R$ 8 milhões pela cotação atual). Não houve proposta oficial pelo jogador até o momento.
Se nada chegar até os primeiros dias de janeiro, ele se reapresentará normalmente no CT Parque Gigante e dará início aos treinos de pré-temporada. O contrato com o Inter vai até dezembro de 2026.
Veja também:
+ Joia 2024: artilheiro de 17 anos e quase dois metros de altura gera expectativa no Inter
Keiller é o reserva imediato de Rochet e está à frente na hierarquia dos garotos Emerson Júnior e Anthoni, terceiro e quarto goleiros, respectivamente. A direção colorada, por ora, não prioriza a busca por um jogador da posição no mercado.
O goleiro de 1,93m iniciou o ano como titular e com expectativa de ser o dono da meta colorada. As atuações oscilantes, no entanto, o fizeram perder a posição para John, negociado com o Valladolid após a chegada de Rochet. Em 2023, disputou 28 jogos e sofreu 32 gols.
Keiller está no grupo principal colorado desde 2017 e soma 46 jogos pelo Inter. Em 2021, foi emprestado à Chapecoense e teve boas atuações, apesar do rebaixamento do time catarinense.


+ Assista: tudo sobre o Inter no ge e na TV"
"Roger destaca ""indignação"" do time do Inter com ponto ganho no último lance","Colorado perdia para o Athletico em casa até os 50 minutos do segundo tempo, quando conseguiu igualar o marcador, com gol de Wanderson",Redação do ge,"Ainda sem conseguir vencer no comando do Inter, Roger Machado viu pontos positivos no empate em 2 a 2 com o Athletico-PR na noite deste domingo, no Beira-Rio. O time saiu na frente, levou a virada, mas arrancou o empate praticamente no último lance, aos 50 minutos do segundo tempo, com gol de Wanderson.
+ O ge está no WhatsApp! Siga o canal ge Inter
Veja também:
+ Atuações do Inter: coletivo vai mal, mas Wanderson evita derrota
Embora tenha tido a semana para treinar, o Inter foi a campo com problemas, especialmente por desfalques de última hora por negociações. Bustos foi vendido ao River Plate, e Vitão está perto de deixar o clube, sendo preservado da partida pela negociação com o Betis.
– Quando os resultados não acontecem, tudo na semana é impactado e amplificado, gerando mais tensão. Colocamos em campo os melhores 11 à disposição, fizemos bom primeiro tempo, fomos penalizados no final, tendo tido dificuldades de controlar o resultado – destacou Roger.
– Hoje conseguimos na indignação de fim de jogo empatar, é o ponto positivo que podemos tirar disso tudo. Entendemos a frustração do torcedor, a inconsistência de oito jogos sem vencer, o resultado não controlamos, mas prometemos seguir trabalhando firme – acrescentou.
O time terminou o jogo vaiado pela torcida, mesmo com o empate na reta final. O jejum de vitórias foi aumentado para 12 partidas, incluindo todas as competições. Apesar disso, o apoio da torcida no Beira-Rio para evitar a derrota foi digno de elogios do comandante colorado.
Roger ainda avaliou outras questões desde sua chegada ao clube. Ele destacou evolução física da equipe, mas que lado emocional e técnico são prejudicados pelo mau momento atual. É preciso fazer o simples.
– Aquele torcedor que vem no estádio é muito parceiro, merece um resultado melhor. Hoje não se entregou, nos ajudou a conquistar esse empate. Tecnicamente nesses momentos a bola vai queimar mais, precisa simplificar mais, não é jogar mais bonito – afirmou Roger.


+ Assista: tudo sobre o Inter no ge e na TV"
Roger é regularizado no BID como técnico do Inter e estreia contra o Botafogo,Treinador tenta encerrar a série sem vitórias da equipe diante do líder do Brasileirão,Redação do ge,"Roger Machado foi regularizado no Boletim Informativo Diário (BID) da CBF e está liberado para estrear pelo Inter. O técnico será a principal atração diante do Botafogo na noite deste sábado, no Nilton Santos, pela 18º rodada do Campeonato Brasileiro.
+ Veja como ajudar as vítimas das enchentes no RS
+ O ge está no WhatsApp! Siga o canal ge Inter
Apresentado na noite de quinta-feira no Beira-Rio após comandar o primeiro treino, Roger aguardava os trâmites burocráticos. O Juventude publicou a rescisão no BID na tarde desta sexta e, pouco depois, entrou a oficialização do profissional como treinador colorado.
Com Roger, o Inter terá a nova composição da comissão técnica já neste fim de semana. O treinador trouxe como auxiliares Adaílton Bolzan (este também já regularizado) e Roberto Ribas, o preparador físico Paulo Paixão e o analista de desempenho Guilherme Marques.
Veja mais:
+ Roger é o 22º técnico a comandar Inter e Grêmio
+ Como Roger pretende montar o time do Inter
Antes da oficialização no BID, o técnico promoveu o último trabalho em solo gaúcho. No CT Morada dos Quero-Queros, em Alvorada, região metropolitana de Porto Alegre, o técnico definiu a escalação que mandará a campo.
O treinador contará com o retorno de Borré, que volta da Copa América após ter defendido a Colômbia. Por outro lado, está sem Alan Patrick (suspenso), Vitão (problema na coxa esquerda), Fernando (lesão na coxa direita), Thiago Maia (lesão na coxa esquerda) e Enner Valencia (lesão no quadril direito).


O Inter está em deslocamento ao Rio de Janeiro, com previsão de chegada para o início da noite desta sexta. A partida com o Botafogo ocorrerá às 18h30 deste sábado no Nilton Santos. O Glorioso lidera com 36 pontos, 17 a mais que o Colorado, o 13º.


+ Assista: tudo sobre o Inter no ge e na TV"
Inter joga a vida na Copa do Brasil enquanto delimita busca por novo técnico,"Comandado por interino, Colorado enfrenta o Juventude, às 16h, no Jaconi, com obrigação da vitória e Roger na mira",Bruno Ravazzolli,"O Inter vai para um confronto de matar ou morrer na Copa do Brasil em desvantagem no placar e sem treinador. O time tenta superar o momento de crise para reverter a vantagem construída pelo Juventude. Paralelamente, a direção avalia nomes para substituir Eduardo Coudet, entre eles Roger Machado, adversário a partir das 16h deste sábado, no Alfredo Jaconi.
+ Veja como ajudar as vítimas das enchentes no RS
+ O ge está no WhatsApp! Siga o canal ge Inter
A equipe será comandada por Pablo Fernandez, técnico do sub-20. O interino teve apenas duas atividades para fazer ajustes pontuais. É necessário vencer. Um gol de diferença leva para os pênaltis. Dois ou mais garantem vaga nas oitavas. Não há gol qualificado.
O futuro treinador pode estar do outro lado e apimenta ainda mais o duelo. Roger agrada e ganha força nos bastidores. Eventuais conversas ocorreriam somente depois do confronto desta tarde. Os valores de multa rescisória e salários, a princípio, não seriam empecilho para o Inter.
O departamento de futebol trabalha com outros nomes, como Vanderlei Luxemburgo e Fernando Diniz. Após reuniões, análises e sondagens, o clube delimitou as opções no mercado e prepara investidas para ter um técnico, quem sabe, na terça-feira, contra o Rosario Central, pela Sul-Americana.
Veja também:
+ Opinião do Saraiva: ""Sondar Roger contaminou o jogo""
+ Conheça Pablo Fernandez, técnico interino do Inter
Antes de definir o novo comandante, é fundamental continuar vivo na Copa do Brasil para contemplar as pretensões esportivas e financeiras do clube. Uma eventual classificação renderá R$ 3,46 milhões nos cofres e deixará o Colorado na briga por um título nacional.
Uma eventual eliminação para o Juventude seria mais um fracasso entre tantos nos últimos anos. Restariam duas competições. Antes obsessão, o Brasileirão ficou difícil por consequência das enchentes. Já são 14 pontos atrás do líder Botafogo. A esperança de título recairia na Sul-Americana.
O momento atual é ruim: são três derrotas nos últimos cinco jogos - duas no Beira-Rio. O desempenho recente e a perda de confiança dos atletas no trabalho causaram a demissão de Chacho. Além das questões técnicas e táticas, será essencial remobilizar o grupo e mudar a postura.
O rival conta com um ótimo retrospecto dentro de casa. O Juventude não perde há 10 partidas no Jaconi. O último revés, curiosamente, foi para o time reserva do Inter na fase classificatória do Gauchão. Nas semifinais, o time da serra levou a melhor nos pênaltis, após dois empates.
Apesar da instabilidade e da derrota por 2 a 1 no Beira-Rio, o time dificilmente terá mudanças drásticas ou surpresas. Rochet e Borré, na Copa América, Aránguiz, Lucca, Thiago Maia e Renê, machucados, e Fabrício, por já ter atuado no torneio, desfalcam a equipe neste momento decisivo.
O provável time tem: Anthoni; Bustos (Igor Gomes), Vitão, Mercado e Robert Renan; Fernando, Bruno Henrique e Alan Patrick; Wesley, Wanderson (Alario) e Enner Valencia.
Inter e Juventude decidem vaga às oitavas de final da Copa do Brasil a partir das 16h deste sábado, no Alfredo Jaconi, em Caxias do Sul.


+ Assista: tudo sobre o Inter no ge e na TV"
"Inter tenta contratação de lateral-direito do Lanús, que recusa duas propostas",Braian Nahuel Aguirre entrou na mira da direção para ser mais uma opção a Roger Machado,Tomás Hammes,"Além de Nathan, com quem tem um acerto encaminhado, o Inter trabalha para dar mais um lateral-direito ao técnico Roger Machado. A direção colorada fez duas propostas por Braian Nahuel Aguirre, do Lanús, mas o clube argentino recusou as duas investidas.
Conforme apuração do ge, a segunda oferta foi de 300 mil dólares (R$ 1,67 milhões pela cotação atual) por 30% dos direitos econômicos do jogador.
– Melhoraram a primeira (oferta), mas não nenhuma das duas serve – disse ao ge Enzo Leonardo Russo, vice-presidente do clube argentino.

+ O ge está no WhatsApp! Siga o canal ge Inter
A ideia colorada era trazer o jogador por empréstimo, mas os hermanos não concordaram com os moldes do negócio. Só aceitam debater a saída do camisa 35 em definitivo, com uma proposta de compra.
Veja também:
+ D'Ale se apresenta e inicia trabalho como dirigente
+ Centroavantes do Inter têm dois gols no Brasileirão
O Lanús, que detém 100% dos direitos, aceitaria vender 80% por US$ 1,8 milhão (R$ 10 milhões pela cotação atual), para manter 20% em caso de negociação futura, ou compor uma transação de 50% entre US$ 1 milhão (R$ 5,57 milhões) e US$ 1,3 milhão (R$ 7,24 milhões).
Aguirre tem 24 anos e é cria do Lanús. Foi promovido ao time principal em 2020 e, nesta temporada, participou de 27 partidas, com um gol marcado e uma assistência. Atualmente, se recupera de lesão muscular na coxa direita, detectada em 16 de agosto.
Com uma situação financeira delicada, o Inter tem sofrido para encorpar o grupo de Roger. Matheus Henrique, do América-MG, foi um dos jogadores procurados para a lateral, mas os valores pedidos assustaram os gaúchos, que buscaram alternativas no mercado.
O Colorado já tem um acerto com Nathan. O lateral-direito chega por empréstimo do Santos até o fim da temporada, com opção de compra caso aprove. O jogador de 22 anos foi revelado pelo Vasco e estava cedido ao Famalicão, de Portugal. O vínculo com o Peixe expira no término de 2026.
A lateral direita é uma das prioridades do clube. O Colorado liberou Hugo Mallo em julho e vendeu Bustos ao River Plate em agosto. Roger ficou sem jogadores para a posição e precisou improvisar Igor Gomes e Bruno Gomes. O último tem sido o titular nas partidas mais recentes.
Até o momento, o Colorado já anunciou as contratações do zagueiro Agustín Rogel, emprestado pelo Hertha Berlin, da Alemanha, e o meia Bruno Tabata, adquirido junto ao Palmeiras. Ambos já estrearam.
A direção ainda mira um lateral-direito, um zagueiro e avalia a investida em um volante para o restante da temporada. A janela de transferências encerra em 2 de setembro.


+ Assista: tudo sobre o Inter no ge e na TV"
