title,subtitle,author,article_content
"Com retorno de Marllon, Cuiabá embarca nesta sexta para encarar o Fortaleza",Zagueiro está recuperado de uma fibrose no músculo posterior da coxa esquerda e está à disposição para o confronto,Redação do ge,"O Cuiabá encerrou a preparação em Mato Grosso e embarca nesta sexta-feira para encarar o Fortaleza. O duelo será disputado no domingo, às 15h (de MT), na Arena Castelão, válido pela 28ª rodada. Em busca de três pontos preciosos, o Dourado tem dois retornos importantes.
Recuperado de uma fibrose na coxa esquerda, Marllon está à disposição da comissão técnica. Ele treinou normalmente com o restante do grupo. Além do zagueiro, Isidro Pitta volta de suspensão e retoma a titularidade no comando do ataque.


As baixas confirmadas são o atacante André Luís, que trata uma hérnia de disco, e o volante Filipe Augusto, com lesão muscular. Ambos estão em reta final de recuperação e devem reforçar o time nas próximas rodadas.
A delegação auriverde viaja para Fortaleza na manhã desta sexta. No sábado, encerra a preparação para o duelo no CT do Ceará.
O provável time tem: Walter; Matheus Alexandre, Marllon (Bruno Alves), Alan Empereur e Ramon; Lucas Mineiro, Fernando Sobral e Lucas Fernandes; Derik Lacerda (Gustavo Sauer), Clayson e Pitta.
Vindo de uma derrota e um empate, o Cuiabá é o penúltimo colocado do Brasileirão e considera uma vitória como fundamental para respirar na briga contra o rebaixamento. Com 23 pontos somados, o Dourado está a cinco do Vitória, primeiro time fora do Z-4."
Marllon inicia transição e pode reforçar o Cuiabá em confronto com o Fortaleza,Zagueiro está recuperado de fibrose e tem chances de disputar a partida do próximo domingo,Redação do ge,"O Cuiabá pode ter o reforço do zagueiro Marllon para a partida conta o Fortaleza, no domingo, às 15h (de MT), na Arena Castelão, pela 28ª rodada do Campeonato Brasileiro.
O camisa 4 do Dourado recuperou-se de fibrose no músculo posterior da coxa esquerda e iniciou transição física. Ele ficou de fora no empate sem gols com o Cruzeiro, no último domingo, e foi substituído por Bruno Alves.
+ Leia mais notícias do Cuiabá
A expectativa é que Marllon retorne aos treinamentos com bola junto ao grupo nos próximos dias. Caso tenha condições ideais, ele deve retomar a titularidade no miolo de zaga auriverde.
Retorno confirmado para o técnico Bernardo Franco é o atacante Isidro Pitta, que cumpriu suspensão automática. Já o atacante André Luís, com hérnia de disco, e o volante Filipe Augusto, com lesão muscular na coxa esquerda, seguem em tratamento e são dúvidas.
Sem vencer há três rodadas, o Cuiabá busca a reabilitação para seguir vivo na luta contra o rebaixamento no Brasileirão.
> Tudo do Cuiabá: siga o canal do ge MT no WhatsApp
A equipe mato-grossense ocupa a 19ª colocação, com 23 pontos, a cinco do Vitória, primeiro time fora do Z-4."
Cuiabá x São Paulo: veja tudo sobre a venda de ingressos,"Dourado recebe o time paulista no sábado, às 18h (de MT), na Arena Pantanal, pela 29ª rodada do Brasileirão",Redação do ge,"Estão à venda os ingressos para a partida entre Cuiabá e São Paulo, no sábado, às 18h (de MT), na Arena Pantanal, válida pela 29ª rodada do Campeonato Brasileiro.
O preço para a torcida auriverde parte de R$ 10. Já o setor visitante custa entre R$ 125 (meia) e R$ 250 (inteira), no Norte Superior.
+ Cuiabá precisa de aproveitamento de líder para se salvar
A venda é feita somente pelo aplicativo ou site da Facepass. O acesso à Arena Pantanal ocorre por reconhecimento facial mediante cadastro na plataforma.
O Cuiabá vem de derrota para o Fortaleza e não vence no Brasileirão há quatro rodadas. A equipe mato-grossense busca a reabilitação contra o Tricolor Paulista para seguir viva na luta contra o rebaixamento.
> Tudo do Cuiabá: siga o canal do ge MT no WhatsApp
Afundado na vice-lanterna, o Dourado tem 23 pontos, cinco a menos que o Vitória, primeiro time fora da faixa da degola do Brasileirão.


Valores


Como comprar

"
Cuiabá precisa de aproveitamento de líder até o fim do Brasileirão para se livrar do rebaixamento,"Sem vencer há quatro jogos, Dourado é o penúltimo colocado e dá poucos sinais de reação",Gabriel Barros,"A derrota para o Fortaleza deixou a situação do Cuiabá ainda mais complicada no Brasileirão. Segundo o Espião Estatístico, a chance de permanência na Série A caiu para 18,61%. Para se salvar do rebaixamento, o Dourado precisa ter um aproveitamento de líder até o fim do campeonato.
Com 11 jogos para disputar, ainda restam 33 pontos disponíveis. Considerando a pontuação mágica na marca de 45, estipulada como segura pelo Espião Estatístico, o Cuiabá tem que somar mais 22 pontos para ter grandes chances de se manter na elite nacional.
Mais:
+ Bernardo vê pontos positivos em derrota, mas diz que ansiedade atrapalha; assista
Para isso, o time auriverde precisa somar 66% da pontuação possível nas rodadas finais da Série A. Neste momento, somente Botafogo, Palmeiras e Fortaleza têm aproveitamento semelhante no campeonato.
Até a 28ª rodada, o Cuiabá acumulou cinco vitórias em 27 jogos - há uma partida atrasada contra o Vasco. Para se salvar do descenso, o Dourado teria que vencer pelo menos seis duelos dos 11 que faltam, além de alguns empates, para a probabilidade de permanência aumentar.
Nas últimas temporadas, a menor pontuação de uma equipe não rebaixada foi 39 pontos. Com isso, a média recente do “número mágico” está em torno de 42. De qualquer maneira, para alcançar esta marca projetada, o clube mato-grossense precisa ter um aproveitamento próximo ao do Flamengo, por exemplo.
Com pouco tempo para se reabilitar, vencer o São Paulo no sábado virou obrigação para seguir com o sonho de disputar a Série A em 2025. Em caso de derrota, o Cuiabá pode terminar a 29ª rodada na lanterna.
+ Veja a tabela do Brasileirão
Nesta segunda-feira, o elenco auriverde treinou pela manhã em Fortaleza, irá folgar na terça e retoma os treinamentos na tarde de quarta-feira. O confronto diante do Tricolor paulista será disputado a partir das 18h (de MT), na Arena Pantanal.



"
"Escalação do Cuiabá: dupla segue fora, mas Marllon e Pitta reforçam o time contra o Fortaleza",Dourado precisa somar os três pontos para tentar diminui distância dos primeiros fora da zona de rebaixamento,Redação do ge,"O Cuiabá encerrou neste sábado a preparação com foco no Fortaleza, adversário deste domingo, pela 28ª rodada do Campeonato Brasileiro. A partida será disputada na Arena Castelão, a partir das 15h (de MT). Em busca de três pontos fundamentais, o Dourado tem reforços.
> Tudo sobre o Cuiabá: siga o canal do ge MT no WhatsApp
Artilheiro do time na temporada, Isidro Pitta volta de suspensão, retoma a titularidade e a esperança de gols. Na linha defensiva, o zagueiro Marllon está recuperado de uma fibrose na coxa, treinou normalmente com o restante do elenco e está à disposição. A única dúvida é se há condições físicas para iniciar como titular.
Mais:
+ Cuiabá se apega a retrospecto positivo contra o Fortaleza na Série A para respirar
+ Entre os piores ataques do Brasileirão, Cuiabá convive com seca de gols dos atacantes
As baixas confirmadas seguem sendo o volante Filipe Augusto, com lesão muscular, e o atacante André Luís, que trata uma hérnia de disco.
O provável time tem: Walter; Matheus Alexandre, Marllon (Bruno Alves), Alan Empereur e Ramon; Lucas Mineiro, Fernando Sobral e Lucas Fernandes; Derik Lacerda, Clayson e Isidro Pitta.
Atual penúltimo colocado, com 23 pontos, o Cuiabá está a cinco de distância do Vitória, primeira equipe fora do Z-4. Mesmo se vencer, o Dourado permanece na mesma posição, mas evita que os adversários na briga contra o rebaixamento aumentem a vantagem na tabela."
"Entre os piores ataques do Brasileirão, Cuiabá convive com seca de gols dos atacantes","Dourado é o terceiro time que menos balançou as redes na Série A, e mau momento passa pelo jejum do setor ofensivo",Gabriela Troian e Jonathas Gabetel,"O mau momento do Cuiabá no Brasileirão passa também pelo desempenho ruim do setor ofensivo. Terceiro pior ataque da competição, o Dourado convive com seca de gols de seus atacantes na temporada.
A equipe mato-grossense balançou as redes adversárias 23 vezes em 26 jogos (média de 0,88 tento por partida) na Série A e está à frente neste ranking apenas de Atlético-GO e Fluminense, que marcaram 21 cada.
Das opções à frente, Clayson foi o último a comemorar com a torcida, na vitória por 2 a 1 sobre o Criciúma, em 31 de agosto. Ou seja, há quase um mês.
Leia mais do Cuiabá:
+ Com retorno na zaga, Cuiabá embarca para Fortaleza
+ TV Centro América transmite Fortaleza x Cuiabá
Isidro Pitta, artilheiro do time no ano, não marca desde o dia 17 de agosto, no empate em 1 a 1 com o Atlético-MG. Vale lembrar que o centroavante perdeu duas partidas no período - contra Juventude, pela convocação à seleção paraguaia, e Cruzeiro, por suspensão.
Depois disso, o jejum é ainda maior. Derik Lacerda fez o último gol no início de julho. Eliel e Jonathan Cafú, em junho. André Luís ainda não marcou na Série A (fez pela Sul-Americana há dois meses), a exemplo de Gustavo Sauer, recém-chegado.
Enquanto busca soluções, o técnico Bernardo Franco acredita que o volume ofensivo melhorou desde sua chegada, mas admite falta de eficiência no toque final.
> Tudo do Cuiabá: siga o canal do ge MT no WhatsApp
Acredito que é continuar criando volume. A gente melhorou no volume ofensivo e precisamos ter capricho na hora de definir a jogada, porque é isso que vai fazer a diferença - analisou o treinador após o empate sem gols com o Cruzeiro na rodada passada.
O Cuiabá tem mais um duelo na luta contra o rebaixamento e enfrenta o Fortaleza neste domingo, às 15h (de MT), na Arena Castelão, pela 28ª rodada do Brasileirão. O Dourado está na 19ª posição, com 23 pontos, cinco de distância do Vitória, primeiro time fora do Z-4."
Dois anos do título: veja por onde andam titulares do Cuiabá na final do Brasileiro de Aspirantes 2022,"Dourado venceu Bragantino na decisão e faturou a primeira taça nacional de sua história; caminhada em defesa do título inicia nesta quarta-feira, contra o Santos",Jonathas Gabetel,"O Cuiabá inicia nesta quarta-feira a caminhada para defender o título do Brasileiro de Aspirantes. Campeão em 2022, na última edição disputada, o Dourado estreia contra o Santos, às 15h (de MT), no CT Manoel Dresch.
A conquista completou exatos dois anos na última segunda-feira. A equipe mato-grossense venceu o Red Bull Bragantino por 3 a 2 naquele dia 23 de setembro de 2022, na Arena Pantanal, e levantou o primeiro troféu de um torneio nacional em sua história.
Mais do Cuiabá:
+ Gerente de futebol é demitido com menos de dois meses no cargo
+ Marllon inicia transição física e pode ser reforço
Gustavo Nescau, duas vezes, e Ricardo Cerqueira foram os responsáveis pelos gols auriverdes na decisão. O time comandado pelo técnico William Araújo, que segue no clube, iniciou a partida com: Vinícius Peruchi; Ricardo Cerqueira, Juan Ojeda, João Maranini e Léo Herrero; JP Iseppe, Cristhian Rivas e Vinícius Boff; Rikelme, Lucas Cardoso e Gustavo Nescau.
A maioria já não está mais no clube, enquanto alguns seguem e inclusive vão disputar a atual edição da competição. Veja abaixo por ondem andam os titulares da final.
+ 10 jogadores para ficar de olho no Brasileiro de Aspirantes


O goleiro permaneceu no Cuiabá até o início deste ano, quando disputou a Copinha como reserva. Estava desde 2021 no clube e chegou a ser relacionado entre os profissionais, mas nunca estreou - no máximo na equipe considerada ""B"". Atualmente, está no Hercílio Luz, de Santa Catarina.


Depois do título, chegou a ser aproveitado no time principal e esteve no elenco campeão mato-grossense em 2023. O meio-campista, que também atua como lateral-direito, foi emprestado para Bangu e Capivariano, retornou ao Dourado há pouco tempo e vai disputar a atual edição do Brasileiro de Aspirantes.


O paraguaio foi contratado como aposta e não vingou. No time de cima, o zagueiro fez só quatro partidas entre Mato-grossense e Copa Sul-Americana. Saiu naquele mesmo ano e rodou por equipes menores do Paraguai. Defende o Sol de América.


Atuou na campanha do bicampeonato mato-grossense em 2022 e 2023, mas acabou cedido ao Botafogo-SP entre o ano passado e a metade desta temporada. O zagueiro retornou recentemente e estará no torneio.


O lateral-esquerdo ficou na base até início deste ano e também transferiu-se ao Hercílio Luz.


O volante foi contratado por empréstimo do São Paulo para compor a base em 2022, mas não permaneceu. Hoje defende o Figueirense.


Mais uma aposta vinda da América do Sul. O venezuelano, hoje com 27 anos, chegou para o time principal, não convenceu e acabou ""rebaixado"" ao elenco de transição. No Brasileiro de Aspirantes, o volante entrou na cota de atletas com idade superior a 23 anos. Está no Estudiantes de Mérida, de seu país natal.


Camisa 10 e um dos grandes destaques na campanha do título, o meia gerou expectativa, mas não correspondeu como esperado. Subiu ao profissional e chegou a atuar improvisado como lateral-esquerdo. Foi emprestado por Pouso Alegre e Al Sahel, da Arábia Saudita. Seu contrato terminou neste ano e ele acertou com o Manauara.


Disparadamente o caso de maior sucesso daquele time. Revelado no próprio Cuiabá, o jogador saiu de atacante para lateral-esquerdo e teve rápida ascensão no time principal. Chegou à titularidade e destacou-se no Brasileirão 2023. As boas atuações renderam convocação para a seleção brasileira sub-20, tornando-se o primeiro atleta da história do clube a defender o Brasil. No entanto, oscilou nesta temporada, perdeu status de titular e foi negociado com o Al-Ahli, dos Emirados Árabes, por cerca de R$ 18 milhões.


Outro que gerou expectativa, mas não atingiu a performance esperada com a camisa auriverde. O meia passou por sequência de empréstimos, está no Novorizontino na disputa da Série B e ainda tem contrato com o Cuiabá.


Com seis gols, o centroavante foi vice-artilheiro do Brasileiro de Aspirantes e goleador da equipe na campanha vitoriosa. Teve poucas chances no elenco profissional e marcou um gol na Sul-Americana de 2022. Seu último contrato foi no Água Santa, clube que defendeu até a metade deste ano.
> Tudo do Cuiabá: siga o canal do ge MT no WhatsApp
Outros nomes

"
Cuiabá demite gerente de futebol menos de dois meses após contratação,Diogo Castro havia sido anunciado no início de agosto; outros três profissionais foram desligados,Redação do ge,"O Cuiabá demitiu o gerente de futebol Diogo Castro, que havia sido contratado no início de agosto. O profissional também tem passagem pelo Santos e ficou menos de dois meses no cargo.
Diogo chegou ao Dourado para ocupar a vaga de Eder Chibior, que deixou o clube para acertar com o Athletico. Ele era o elo entre diretoria e atletas e auxiliava na logística, entre outras funções.
+ Marllon inicia transição e pode ser reforço contra o Fortaleza
Além dele, a direção auriverde desligou um analista de desempenho e dois profissionais da comunicação. A informação foi veiculada primeiro pelo portal Olhar Esportivo. Em contato com o ge, o Cuiabá confirmou os cortes, mas não deu maiores detalhes.
> Tudo do Cuiabá: siga o canal do ge MT no WhatsApp
Na luta contra o rebaixamento, o Cuiabá é o 19º colocado do Campeonato Brasileiro, com 23 pontos, a cinco do Vitória, primeiro time fora do Z-4. O Dourado volta a campo no próximo domingo, contra o Fortaleza, às 15h (de MT), na Arena Castelão, pela 28ª rodada."
"Bernardo vê pontos positivos em derrota, mas diz que ansiedade atrapalha o Cuiabá; assista",Treinador destacou o nível do adversário da 28ª rodada e afirmou que a questão mental precisa ser trabalhada para a sequência,Redação do ge,"

O Cuiabá somou o quarto jogo seguido sem vitória no Brasileirão e vê a luta contra o rebaixamento ficar mais complicada a cada rodada. O time pouco criou na derrota para o Fortaleza e contabilizou nova falha defensiva que resultou em gol adversário. Apesar do revés, o técnico Bernardo Franco diz que observou pontos positivos na equipe e destacou o quanto a questão mental tem afetado o desempenho coletivo.
O Tricolor do Pici teve mais volume ofensivo ao longo da etapa inicial, somou sete finalizações e criou as melhores oportunidades. Do outro lado, o Dourado focou em se defender e foi para o intervalo sem anotar um chute sequer.
Mais:
+ Atuações: Lucas Mineiro falha, ataque cria pouco e situação fica crítica; dê suas notas
Já nos acréscimos, a defesa não conseguiu afastar uma bola da área e Hércules bateu de primeira para balançar a rede. Para o comandante auriverde, a situação da partida poderia ser outra se o primeiro tempo terminasse empatado.
— Nosso plano de jogo passava por isso, em controlar melhor as situações de jogo do Fortaleza. Sabíamos da capacidade de um contra um pelos lados do campo com jogadores de pé invertido, cruzamentos e preenchimento de área. Acabamos sofrendo um gol assim no fim do primeiro tempo. Suportamos a pressão inicial do Fortaleza, que é uma equipe que precisava dar resposta ao seu torcedor após a eliminação na competição internacional. Sabíamos da força deles, e se a gente conseguisse segurar no primeiro tempo poderíamos fazer ajustes necessários para voltar no segundo tempo e ferir mais o Fortaleza.
No total, o Cuiabá concluiu apenas duas vezes contra a meta rival, nenhuma com perigo. Mesmo com o resultado adverso, Bernardo diz que há pontos positivos para a sequência do Brasileirão.
— Acredito também que ficamos vivos no jogo até o final, isso é importante. Jogamos contra uma equipe grande, que tem um trabalho de longo prazo, com grande investimento, tanto que tem jogadores emprestados para times de Série A, portanto se dá esse luxo. Essa é a mensagem que passei aos jogadores, jogamos contra um grande equipe, que tem um grande trabalho, em um contexto difícil. O campeonato está em aberto, tem muita coisa para acontecer. Depende da gente ainda, vamos trabalhar forte essa semana para que a gente possa dar a resposta certa dentro da nossa casa.
Por fim, o treinador ressaltou que erros ao longo das partidas são resultados da situação na tabela. Bernardo crê que trabalhar o mental dos jogadores deve ser o caminho para uma reabilitação no campeonato.
— A questão mental, a ansiedade começa a bater e acaba que a gente comete erros de tomadas de decisão e erros técnicos porque queremos resolver logo nosso problema. É algo que já detectamos, temos trabalhado muito e nessa altura da competição precisamos corrigir o mais rápido possível. Hoje se o placar vai empatado para o intervalo, com certeza teria mais ansiedade do lado de lá e menos do lado de cá. É uma questão que a gente já identificou, vamos bater nessa tecla e identificar quem são os jogadores que conseguem suportar esse momento e entregar essa força mental que a gente tanto precisa.
+ Veja a tabela do Brasileirão
Para voltar a vencer, o Cuiabá terá que bater o São Paulo na próxima rodada. O Dourado volta a campo no sábado, às 18h (de MT), pela 29ª rodada, na Arena Pantanal."
De freguês a carrasco: Cuiabá se apega a retrospecto positivo contra o Fortaleza na Série A para respirar,Dourado tenta aproveitar campanha favorável diante do Tricolor para se reabilitar na briga contra o rebaixamento,Gabriel Barros e Gabriela Troian,"Foram anos de freguesia na Série C, mas a situação mudou na elite do Campeonato Brasileiro. Em busca da vitória para respirar na briga contra o rebaixamento, o Cuiabá se apega ao retrospecto recente positivo diante do Fortaleza para somar três pontos fundamentais. As equipes se enfrentam neste domingo, às 15h (de MT), na Arena Castelão.
> Tudo sobre o Cuiabá: siga o canal do ge MT no WhatsApp
Pela terceira divisão nacional, ambos se enfrentaram 12 vezes, entre 2012 e 2017, com ampla vantagem para o Tricolor do Pici. Foram seis vitórias do Fortaleza, uma do Cuiabá e cinco empates. No total, o time cearense marcou 19 gols contra nove da equipe auriverde.
Torcedor do Cuiabá, Matheus Queiroz lembra do panorama entre os clubes na terceira divisão.
— Era uma tristeza jogar contra o Fortaleza, ainda bem que na Série A o panorama está diferente. Teve um jogo na Arena Pantanal, se não me engano em 2017, que o Fortaleza saiu na frente, a gente empatou e virou, mas no fim eles empataram. Me marcou negativamente porque a gente conseguiria a vitória e entraria no grupo da próxima fase, mas acabou que não conseguimos por causa dos pontos que faltaram.
Mais:
+ Entre os piores ataques, Cuiabá convive com seca de gols dos atacantes
+ Com retorno de Marllon, Cuiabá embarca nesta sexta para encarar o Fortaleza
Os times voltaram a se enfrentar somente na Série A, e desde então quem tem levado a melhor é o Dourado. No último encontro, por exemplo, vitória mato-grossense por 5 a 0 na Arena Pantanal - maior triunfo do confronto.
Na Primeira Divisão nacional o cenário se inverteu. São cinco vitórias do Cuiabá, uma do Fortaleza e um empate. No quesito bola na rede, larga superioridade auriverde: 10 gols contra somente dois.
O retrospecto até joga a favor dos comandados de Bernardo Franco, mas o problema é a diferença das campanhas nesta edição do Brasileirão. Enquanto o Fortaleza é o terceiro colocado e briga pelo título, o Cuiabá é o penúltimo e precisa vencer para seguir com o sonho de não ser rebaixado.
+ Veja a tabela do Brasileirão
Vindo de uma derrota e um empate, o Dourado mira nos três pontos para não se distanciar dos primeiros times fora do Z-4. A partida, válida pela 28ª rodada, terá transmissão da TV Verdes Mares, TV Centro América e Premiere."
