title,subtitle,author,article_content
"Voleio, cobertura e o gol que ""Pelé não fez"": os quase golaços de Suárez pelo Grêmio; veja vídeo",Uruguaio marcou 29 gols em 54 partidas pelo clube gaúcho 2023,Redação do ge,"A passagem de Luis Suárez pelo Grêmio foi marcante no clube e no futebol brasileiro. Em 54 jogos, o uruguaio marcou 29 gols e contribuiu com 17 assistências. Mas, além disso, o centroavante também teve os momentos de ""quase"" antes se despedir com festa da torcida gremista.
+ Alô, torcida tricolor! O ge Grêmio está no WhatsApp!
Dentro da qualidade do centroavante, houve tentativas de voleio, do meio-campo e com chapéu seguido de finalização. O ge separou alguns lances de ""quase golaço"" de Luisito. Assista:




Suárez se despediu do Grêmio nesta sexta-feira. O camisa 9 foi saudado pelos gremistas no aeroporto e teve um último contato com os torcedores do clube gaúcho antes de rumar para Montevidéu.
O futuro do uruguaio deve ser na MLS. A tendência é que o jogador acerte com o Inter Miami, clube do amigo Lionei Messi. Em julho, a equipe norte-americana tentou a contratação do centroavante a pedido do argentino. O técnico Renato Portaluppi confirmou que Suárez recebeu a oferta e que ele afirmou que ""queria parar"" na metade de 2023.
🎧 Ouça o podcast ge Grêmio 🎧
+ Assista: tudo sobre o Grêmio no ge e na TV"
Grêmio tem menor número de finalizações na temporada em derrota para o Bahia; veja números,"Time finalizou somente três vezes em duelo na Arena Fonte Nova, no segundo revés fora de casa pelo Campeonato Brasileiro",Redação do ge,"A derrota do Grêmio para o Bahia ficou marcada pela atitude de Renato de deixar o campo junto com os jogadores reservas nos minutos finais de jogo. Porém, uma estatística também chama atenção. O revés na Arena Fonte Nova foi a partida com menos finalizações da equipe na temporada. Foram somente três chutes a gol, segundo o Espião Estatístico do ge.
O dado justifica o baixo desempenho e a derrota em Salvador. No primeiro tempo, o Grêmio chegou apenas uma vez no gol adversário, em cabeçada de Diego Costa para defesa de Marcos Felipe sem dificuldade.
Na etapa final, Gustavo Nunes tentou duas vezes. A primeira para fora e a outra para nova intervenção do goleiro do Bahia com certa facilidade. Tudo em mais de 100 minutos de jogo, incluindo os acréscimos.
O número é bastante inferior à própria média da equipe na temporada. Em 24 jogos no ano, o Grêmio soma 295 finalizações, média de 12,3. O time tem 38 gols marcados no momento, média de 1,58 por partida.
Veja também
+ Análise: derrota do Grêmio tem fim vergonhoso e único destaque
+ Renato explica saída de campo e faz acusação sobre expulsão
A título de comparação, qualidade dos adversários à parte, o Tricolor chegou a ter jogo de 29 chutes a gol, em vitória sobre o Novo Hamburgo no Gauchão. Em outros dois também passou de duas dezenas, em goleadas diante de Santa Cruz (26) e Guarany de Bagé (21).
A pior marca antes de sábado era de cinco finalizações, contra o Caxias, na volta da semifinal do estadual. Ironicamente, o Grêmio fez três gols nesta partida, vencida na Arena. Em casa, aliás, o time tem média ainda maior, de 15,6 finalizações – e exatas nove fora de casa.
Número de finalizações do Grêmio em todos os jogos de 2024:


Desta forma, o Grêmio pouco assustou o Bahia e sofreu a segunda derrota no Brasileirão, após três vitórias seguidas entre o certame nacional e a Libertadores. Sem tempo de recuperação, em pouco mais de um dia já há outro compromisso, agora na estreia da Copa do Brasil.
Sem voltar a Porto Alegre, o elenco gremista passou o domingo em Curitiba e treina na manhã desta segunda no CT do Caju, do Athletico-PR. No início da tarde, a delegação segue para Ponta Grossa, local da partida contra o Operário, às 20h de terça, pela ida da 3ª fase do torneio.


+ Assista: tudo sobre o Grêmio no ge e na TV"
"Grêmio volta à fase de grupos da Libertadores após 4 anos, mas deixa estreia em segundo plano","Com foco na final do Gauchão contra o Juventude, Renato manda a campo um time de reservas para encarar o The Strongest na altitude de La Paz",João Victor Teixeira,"O Grêmio finalmente está de volta à Libertadores. Foram quatro anos de espera para jogar a fase de grupos da principal competição do continente. Mas a estreia ficou em segundo plano em função da decisão do Campeonato Gaúcho. Com atenção dividida, a missão de segurar o The Strongest a partir das 21h desta terça-feira, na altitude de La Paz, será dos reservas.
+ Alô, torcida tricolor! O ge Grêmio está no WhatsApp!
O técnico Renato Portaluppi decidiu priorizar a final do estadual contra o Juventude no próximo sábado. Afinal, vale o heptacampeonato gaúcho. Ainda que isso signifique comprometer o resultado na Bolívia. Na competição continental, restarão mais cinco jogos para a equipe buscar a classificação caso seja superada pelo time da casa.
O Grêmio deve entrar em campo com: Marchesín; Fabio, Gustavo Martins, Natã e Wesley Costa; Dodi e Du Queiroz; Galdino, Nathan e Nathan Fernandes; João Pedro Galvão. Desses, apenas quatro já disputaram uma partida de Libertadores. A maioria terá sua primeira experiência no torneio.
Os reservas também vão fazer o primeiro encontro da história entre Grêmio e The Strongest. Os clubes jamais se enfrentaram. Nas duas vezes em que jogou no Hernando Siles, o Grêmio enfrentou o Bolívar. Venceu uma vez por 2 a 1, em 1983, com Renato em campo.
Para tentar buscar a segunda vitória em La Paz, os comandados de Renato vão ter que lidar com os efeitos de uma altitude de mais de 3.630 metros. Náuseas e dificuldade de respirar são alguns dos sintomas mais comuns para quem não está acostumado ao ar rarefeito.
Veja também
+ Grêmio tem mais da metade do elenco estreante em Libertadores
+ Opinião do Saraiva: A estratégia acertada do Grêmio
+ Como o Grêmio se prepara para encarar a altitude de La Paz
Historicamente, os brasileiros costumam ter pouca sorte contra o The Strongest no Hernando Siles. Conforme o levantamento do Espião Estatístico do ge, são 17 confrontos, com apenas três vitórias brasileiras, quatro empates e 10 vitórias dos bolivianos.
Brasileiros que venceram o The Strongest em La Paz


A maior vitória do Strongest em cima de uma equipe brasileira, na Bolívia, foi de 5 a 0, em cima do Athletico-PR, pela Libertadores de 2022. Em 2000, pela mesma competição, o time boliviano superou o Juventude por 5 a 1, adversário do Grêmio no sábado.
A expectativa de público no Hernando Siles para esta noite é entre 25 mil e 30 mil pessoas. A bola rola a partir das 21h desta terça-feira (horário de Brasília). É o início da caminhada gremista em busca do tetracampeonato continental.


+ Assista: tudo sobre o Grêmio no ge e na TV"
"Renato nutre esperança de ter volta de Soteldo ao Grêmio ainda no Gauchão: ""Objetivo é esse""","Técnico diz que Tricolor está ""cuidado do nosso gigante"", que está há mais de um mês fora dos gramados por lesão muscular",Kelly Costa,"Na entrevista antes da partida entre Grêmio e Brasil de Pelotas pelas quartas de final do Gauchão na tarde deste domingo, o técnico Renato Portaluppi falou sobre a recuperação do atacante Soteldo. O venezuelano teve uma lesão de grau 3 no adutor da coxa direita durante a partida contra o Juventude, no final de fevereiro.
– O objetivo é esse (ter o Soteldo de volta no Gauchão), estamos cuidando do nosso gigante, ele tem treinado, a cada dia que passe tem melhorado. Esperamos que, se a gente chegar na semi e na final, ele esteja presente para nos ajudar – afirmou o treinador.
O meia-atacante esteve no gramado no treino do Grêmio da última terça-feira, fazendo apenas atividades controladas no campo do CT Luiz Carvalho. Os exercícios de Soteldo foram sem contato com bola e separados do restante do elenco.
O Grêmio encara o Caxias na semifinais do Gauchão. O primeiro jogo acontece no próximo final de semana no Estádio Centenário, em Caxias do Sul. O jogo de volta será na Arena.


+ Assista: tudo sobre o Grêmio no ge e na TV"
"Eliminação na Libertadores gera pressão, mas Grêmio mantém confiança em Renato","Apesar de críticas internas, clube gaúcho não cogita mudança antes do final da temporada",Eduardo Moura e João Victor Teixeira,"A eliminação do Grêmio para o Fluminense na Conmebol Libertadores aumentou a pressão interna sobre o técnico Renato Portaluppi. No entanto, a diretoria mantém a confiança no trabalho do ídolo como condutor na reação no Campeonato Brasileiro e não cogita mudanças até o fim da temporada.
+ Alô, torcida tricolor! O ge Grêmio está no WhatsApp!
A queda nas oitavas de final e algumas escolhas recentes do técnico encontram críticos no ambiente interno. Conselheiros e membros da diretoria em áreas fora do departamento de futebol adotam tom de insatisfação com o ídolo gremista.
Ao mesmo tempo, internamente na cúpula do Grêmio não se cogita nenhuma mudança no momento. Longe disso. O planejamento é continuar com Renato até o fim do ano com a convicção de que o técnico conduzirá uma ascensão no Brasileirão e tirará a equipe da briga contra o rebaixamento.
O contrato de Renato vai até o final deste ano. Como de costume, a situação será avaliada pelas duas partes quando o prazo se encerrar, o processo natural das últimas passagens do treinador no comando do clube.
Pouco se fala sobre a próxima temporada no Tricolor em termos de definições. Mas não se descarta nenhuma possibilidade para 2025, seja permanência ou saída de Renato. Isso, no entanto, só será discutido e trabalhado no futuro.
O presidente Alberto Guerra e o técnico Renato têm relação muito próxima, já que trabalharam juntos em 2010 e também entre 2018 e 2019 com o dirigente em outras funções no clube. E o foco atual será buscar bons resultados e subir no Brasileirão.
Em 2024, o Grêmio conquistou o heptacampeonato gaúcho e foi eliminado nas oitavas de final de Copa do Brasil e Conmebol Libertadores nos pênaltis. Na Série A, iniciou na zona de rebaixamento e reagiu nas últimas rodadas. Mas ainda vive situação delicada, já que é o 15º, com 24 pontos, dois acima de Corinthians e Vitória, 17º e 16º, respectivamente.
Guerra assumiu como presidente do Grêmio no fim de 2022 e renovou com Renato, que havia voltado na reta final da Série B, para a temporada seguinte. Ao final de 2023, repetiu permanência para este ano. O 2025 será o último ano da diretoria e reserva eleições.
O Grêmio agora foca diretamente no Brasileirão, única competição até o fim do ano. No domingo, enfrenta o Criciúma, no Heriberto Hülse, às 16h. O Tricolor tem dois jogos atrasados do primeiro turno, um deles contra o próprio Tigre, e contra o Atlético-MG.


+ Assista: tudo sobre o Grêmio no ge e na TV"
Negociação entre Grêmio e Gustavo Martins para renovação volta a travar,Zagueiro de 21 anos tem vínculo até o final de 2025; divergência de valores sobre salários e bônus travam ampliação do vínculo,João Victor Teixeira,"A negociação para a renovação de contrato do zagueiro Gustavo Martins com o Grêmio voltou a travar. No final de março, as partes tiveram uma reunião que, aparentemente, tinha encaminhado a situação. Mas a última proposta do clube não agradou e o estafe do jogador ainda aguarda a resposta da contraproposta.
+ Alô, torcida tricolor! O ge Grêmio está no WhatsApp!
A principal divergência são valores salariais e de bônus. No encontro que o departamento de futebol teve com o representante do jogador no fim de março, ficou combinado que cada lado iria ceder um pouco. Mas quando chegou a oferta do clube, não foi o que o estafe de Gustavo esperava. Uma contraproposta foi feita ao clube, ainda sem resposta.
Depois disso, o Grêmio ainda não deu um retorno sobre a situação. Mas apesar do impasse, há um otimismo de que os dois lados irão chegar a um acordo e a renovação será assinada. O contrato atual do jogador vai até o final de 2025.
A vontade do zagueiro é permanecer no clube gaúcho. Natural de Niterói, Gustavo Martins está adaptado a Porto Alegre e trouxe a família para morar no Rio Grande do Sul. Além disso, tem boa relação com o técnico Renato Portaluppi e acredita que pode ganhar mais oportunidades naturalmente.
Veja também
+ Grêmio corre para contratar Edenilson e zagueiro até sexta


No início do ano, o Grêmio recebeu pelo menos três propostas do Braga, de Portugal, pelo zagueiro. Todas foram recusadas, mas os portugueses ainda não desistiram do jogador. O presidente do clube, António Salvador, já sinalizou que no meio do ano vai procurar o clube gaúcho novmente.
A ideia é refazer a última oferta ao Tricolor, de US$ 4,5 milhões (cerca de R$ 23,2 milhões) por 75% dos direitos do jogador. O Grêmio detém 90% do passe de Gustavo Martins. A direção do Braga está disposta a negociar.
Na estreia do Grêmio no Brasileirão, o zagueiro de 21 anos entrou na vaga de Kannemann ainda no primeiro tempo foi um dos melhores em campo da equipe de Renato. Foi o autor do gol na derrota por 2 a 1 para o Vasco.


+ Assista: tudo sobre o Grêmio no ge e na TV"
"Aravena é apresentado e diz por que escolheu o Grêmio: ""Desafio grande""",Atacante chileno assinou com o clube gaúcho em definitivo até o final de 2028. O jogador já está regularizado no BID e pode estrear contra o Corinthians,João Victor Teixeira,"O Grêmio apresentou de forma oficial nesta terça-feira o atacante Alexander Aravena, de 21 anos. Em suas primeiras palavras com a camisa tricolor, o chileno comemorou o acerto com o clube e afirmou que está pronto para ajudar o time a sair da situação difícil no Campeonato Brasileiro.
+ Veja como ajudar as vítimas das enchentes no RS
+ Alô, torcida tricolor! O ge Grêmio está no WhatsApp!
Aravena assinou contrato por quatro temporadas e meia, até o final de 2028. Durante a apresentação, confirmou que foi procurado pelo Grêmio em outros momentos e disse que dessa vez decidiu acertar a proposta imediatamente, motivado pela oportunidade de crescer no futebol brasileiro.
– Sei o que é Grêmio, o que representa aqui no Brasil. Tive outras propostas de outros países, mas Brasil é uma liga top. Me encanta o futebol daqui. Estou muito contente. É um momento atípico, mas creio que vamos ir em frente – afirmou o jovem.
Veja também
+ Conheça Braithwaite, novo atacante do Grêmio
O chileno revelou que conversou com o conterrâneo Cesar Pinares e com o técnico Tiago Nunes sobre o clube gaúcho. Ambos tiveram passagens recentes pelo Grêmio e eram companheiros de Aravena no Universidad Católica.
– Tive uma conversa com o Cesar, que jogou aqui, e rapidamente com o Tiago (Nunes). Me informaram sobre o clube, sei a situação que estava, sei a a situação que cheguei. Para mim é um desafio grande e tenho que estar preparado para enfrentar.
Com convocações recentes para as seleções do Chile, o jovem chega ao Tricolor como uma aposta para o futuro e para ser mais uma alternativa ao técnico Renato Portaluppi no setor ofensivo. Questionado sobre suas características, ele afirmou que prefere atuar pela ponta esquerda, mas pode jogar em todas as funções do ataque.
– Gosto de jogar nos dois lados, também de centroavante. Por fora me sinto mais cômodo, principalmente pela esquerda. Mas posso jogar nas três posições. Já variei muito as três posições e sinto que isso me ajudou muito meu jogo, de habilidade, de frear e fazer gols, que é o mais importante – destacou.
Aravena já está regularizado no BID da CBF e está apto a estrear pelo Grêmio no confronto desta quinta-feira contra o Corinthians, na Neo Química Arena. A delegação gremista viaja nesta noite para São Paulo. Na quarta-feira, realiza o último treino no CT da Portuguesa.






+ Assista: tudo sobre o Grêmio no ge e na TV"
Renato desconversa sobre Tiquinho e fala em reforços no Grêmio até o fim da semana,"Antes mesmo da vitória sobre o Noia, o treinador declarou que os reforços ""estão bem próximos""",Redação do ge,"Renato Portaluppi está confiante que o Grêmio anunciará contratações até o fim desta semana. Antes e depois da vitória sobre o Novo Hamburgo, na noite de terça-feira, o treinador adotou um discurso otimista e declarou que os reforços ""estão bem próximos"". Por outro lado, desconversou ao ser questionado sobre Tiquinho Soares e Júnior Santos, ambos do Botafogo.
+ Alô, torcida tricolor! O ge Grêmio está no WhatsApp!
Conforme apurou o ge, o clube carioca rejeitou a oferta gremista de 4 milhões de euros ($ 21,3 milhões pela cotação atual) por Tiquinho Soares, de 33 anos. Recentemente, o centroavante se manifestou e rechaçou a possibilidade de deixar o Alvinegro em 2024. Renato não negou as informações e elogiou o atleta.
– Não sei. Pode ser que sim. Pode ser que não. Eu já falei com três ou quatro jogadores. Não vou falar nomes. Teus colegas noticiaram. Não estamos parados. Temos uma certa quantia, mas é difícil, os clubes não liberam. É um grande jogador, sem dúvida alguma – disse Renato.
Veja também:
+ Renato revela mensagem a Suárez: ""Galdino vai para aí e você manda o Messi""
Outro nome especulado nos bastidores é o de Júnior Santos, 29 anos, monitorado pela direção desde o ano passado. O atacante seria uma alternativa para os lados do campo e um eventual substituto a Soteldo, afastado dos gramados por lesão muscular grau três.
– Eu não falo de jogador antes que assine contrato. A gente está trabalhando. Tem chances, sim, de anunciar essa semana um ou dois jogadores. Não estamos parados, bem pelo contrário. Domingo foi folga para alguns. Eu estava trabalhando com o vice-presidente e executivo. A gente está correndo atrás. Os nomes vão começar a aparecer – concluiu.
O Grêmio está à procura de lateral-esquerdo, volante, atacante de velocidade e centroavante. Para que os eventuais reforços possam atuar ainda no estadual é necessário que estejam regularizados no BID da CBF até o dia 16, prazo limite para inscrição de jogadores.
Se há pressão para a direção contratar, há tranquilidade dentro de campo. O time emplacou a quinta vitória consecutiva e lidera o torneio. O grupo de jogadores se reapresenta na tarde desta quarta-feira, no CT Luiz Carvalho, e volta a campo no sábado, na Arena, contra o São Luiz.


+ Assista: tudo sobre o Grêmio no ge e na TV"
Soteldo troca a camisa 10 pela 7 no Grêmio e destaca vontade de trabalhar com Renato,Atacante venezuelano foi apresentado pelo clube gaúcho junto com Dodi nesta sexta-feira,João Victor Teixeira,"Na véspera da estreia no Campeonato Gaúcho, o Grêmio apresentou na manhã desta sexta-feira a dupla de reforços que chegou do Santos, Soteldo e Dodi. O venezuelano recebeu a camisa 7 do clube, usada por nomes como Renato Portaluppi, e falou sobre o desejo antigo de vir para Porto Alegre e trabalhar com o treinador.
+ Alô, torcida tricolor! O ge Grêmio está no WhatsApp!
Soteldo chega a Porto Alegre para suprir uma carência no setor ofensivo tricolor. Dos que reforços que chegaram até agora, é considerado a principal contratação gremista na temporada. Não à toa, recebeu o número de camisa mais pesado na história do clube, imortalizada pelo próprio técnico.
– A camisa 7 foi uma decisão difícil. Eu gosto de usar a 10. Mas me falaram que seria bom eu usar a 7 e eu disse que ia falar com o Renato. Ele sempre falando daquele jeito, que vou entrar com uma cadeira pesada de história na cabeça (risos). Mas de boa, gosto de desafios, vim para isso. Quero aprender com meus companheiros e acho que vai ser lindo – destacou o venezuelano.
Leia também
+ Benteke, Balotelli, Diego Costa... Os centroavantes oferecidos ao Grêmio
Já Dodi foi buscado pelo departamento de futebol para reforçar o setor de meio-campo. Aos 27 anos, o volante está, na verdade, retornando ao clube, pois boa parte de sua formação como jogador foi feita nas categorias de base do Grêmio.
– Para mim é uma alegria estar retornando. Cheguei aqui em 2009, com 11 anos. Hoje volto mais maduro. Conheço muita gente que já estava aqui na minha época. Me sinto em casa aqui. Agora é dar sequência para ajudar o Grêmio – destacou o jogador.
O volante assinou contrato em em definitivo com o Grêmio, por três temporadas. O atacante chegou por empréstimo de uma temporada. Durante a entrevista de apresentação, ambos destacaram a vontade de jogar no Tricolor, desde o início das negociações.
– Foram várias tentativas de vir para cá, mas eu estava em outro clube. Sempre fiquei de olho. Grêmio é um grande clube, com bons jogadores, é só olhar a campanha que fizeram no Brasileirão do ano passado. Foi uma decisão tranquila. Quando meu representante falou do interesse, disse pra dar preferência pro Grêmio. Pelo treinador que é muito bom, queria ser treinado por ele. Deu tudo certo e acho que vamos brigar pela Libertadores e nas outras frentes que vêm por aí – destacou Soteldo.
– Desde que meu empresário falou da possibilidade do Grêmio, fiquei muito feliz. Clube que estou voltando e ficou muito honrado de voltar para onde comecei. Minha expectativa é muito grande e vou trabalhar para ajudar o Grêmio – completou Dodi.
Já regularizados, Soteldo e Dodi ficam à disposição para a estreia do Grêmio na temporada, neste sábado, contra o Caxias, pela 1ª rodada do Campeonato Gaúcho. Renato encerrou a preparação para a estreia pela manhã, e a delegação embarcou rumo a Caxias do Sul no início da tarde.


+ Assista: tudo sobre o Grêmio no ge e na TV"
Renato usa três goleiros diferentes em três jogos do Grêmio e admite disputa aberta na posição,"Marchesín, Rafael Cabral e Caíque foram escalados nos últimos jogos. Foi a primeira vez que o técnico admitiu que a briga no posição está aberta",Redação do ge,"O Grêmio vem sofrendo com o desgaste físico e não à toa Renato tem rodado o elenco diante de um ritmo pesado de jogos. Mas no gol, o rodízio de goleiro é uma opção técnica da comissão e pela primeira vez o comandante admitiu que a briga está aberta.
+ Alô, torcida tricolor! O ge Grêmio está no WhatsApp!
Nos últimas três partidas do Tricolor, o técnico escalou três jogadores diferentes para a função. Contra o Estudiantes, Marchesín foi escalado. Diante do Bahia, Rafael Cabral estreou. Na Copa do Brasil, Caíque voltou ao time.
Após a partida, Renato Portaluppi voltou a ser questionado sobre o assim. Foi a primeira vez que o comandante gremista confessou que ainda não definiu o dono da posição e a disputa está aberta.
- Quanto aos goleiros, coloquei o Rafael porque no momento ele só pode jogar no Brasileirão e preciso de goleiro com ritmo de jogo. Marche vinha jogando a Libertadores e o Caíque o Brasileiro. Essa posiçao está aberta. O que não posso é deixar o Rafael sem ritmo. Marche vinha bem, e o próprio Caíque também. A briga é boa entre eles. Temos três grandes goleiros - disse o comandante.
Nesta temporada, o argentino foi quem mais atuou no Tricolor. Foi escolhido para defender a meta do Grêmio em 13 das 25 partidas até o momento. Na Libertadores, Marchesin foi titular em todos jogos. São 13 gols sofridos pelo jogador. Média de um gol por jogo.
Já Caíque foi o goleiro do Tricolor em boa parte do Gauchão e no Brasileirão. O arqueiro fez 10 partidas e sofreu oito gols. Média de 0,8 gols por jogo. Na estreia da Copa do Brasil, voltou a receber chance.
Ao que tudo indica, o recém-chegado Rafael Cabral deve continuar recebendo oportunidades no Campeonato Brasileiro, já que é a única competição que pode atuar. Na Libertadores, só poderá ser inscrito a partidas das oitavas de final. Já na Copa do Brasil, não pode jogar por já ter defendido o Cruzeiro neste campeonato.
Depois do empate com o Operário-PR, a delegação gremista retorna para Porto Alegre no início da tarde desta quarta-feira. A reapresentação do elenco está marcada para quinta-feira, no CT Luiz Carvalho.


+ Assista: tudo sobre o Grêmio no ge e na TV"
