title,subtitle,author,article_content
Fortaleza tem desfalques contra Cuiabá; veja provável escalação,"Fortaleza enfrenta o Cuiabá no domingo (29), às 16h, na Arena Castelão",Redação do ge,"O Fortaleza terá desfalques importantes para o confronto com o Cuiabá no domingo (29). O time não vai contar com Zé Welison e Lucero, que cumprem suspensão. Além disso, tem ausências por lesão. Vojvoda vai precisar modificar a escalação titular. A TV Verdes Mares transmite no domingo.
+ Confira as novidades do Fortaleza
O atacante Moisés tem edema na coxa, e o volante Lucas Sasha trata edema na panturrilha direita.


Com a eliminação da Sul-Americana, o Fortaleza tem apenas a Série A como foco. O time tem 11 jogos pela frente e quer permanecer entre os quatro primeiros colocados. O Leão soma 52 pontos e está na 3ª posição na tabela.
O Fortaleza enfrenta o Cuiabá no domingo (29), às 16h, na Arena Castelão. O confronto é válido pela 28ª rodada da Série A do Campeonato Brasileiro."
Pedro Augusto renova com Fortaleza até 2026,"Na atual temporada, volante já atuou em 43 partidas",Redação do ge,"Pedro Augusto renovou contrato com o Fortaleza até 31 de dezembro de 2026. O antigo acordo era só até o fim de 2024. O clube comunicou nesta terça-feira (1º).
Com o Fortaleza, o volante soma 64 jogos, uma assistência e um título, sendo campeão da Copa do Nordeste de 2024. Na atual temporada, já atuou em 43 partidas.
Pedro Augusto ficou marcado no clube após perder o pênalti na final da Sul-Americana de 2023, quando o Fortaleza ficou com o vice diante da LDU.
- Passou por dificuldades, como sabemos. Teve resiliência e força mental, escolheu ficar no Fortaleza. Ele poderia naquele momento ter facilmente desistido, quis honrar nossas cores, dar a volta por cima e deu essa volta com talento, entrega, raça e bons jogos. Um atleta muito importante e seguimos a renovação com convicção de que ele vai seguir nos ajudando e que vai ter ainda muita história boa para fazer aqui com a gente - comenta o CEO do Fortaleza EC SAF, Marcelo Paz."
Fortaleza está a três pontos de marca que lhe rendeu G-4 em 2021,"Em 2021, Laion terminou a Série A em 4°, com 58 pontos. Neste 2024, a dez jogos do fim, já soma 55",Juscelino Filho,"O ano de 2021 foi histórico para o Fortaleza. Naquela temporada (primeira de Juan Pablo Vojvoda no comando do time), o Laion terminou a Série A com um inédito e impressionante 4° lugar, com 58 pontos.


+ SIMULE OS PRÓXIMOS JOGOS DO BRASILEIRÃO
- O orgulho é mais do que pelos 55 pontos. Cada vez que recebemos um gol ou uma derrota, o time reage, responde. E isso é uma resiliência importante, que conseguimos não somente esse ano. Absorvemos golpes dos adversários e críticas, acertamos e o time responde - avalia o treinador Juan Pablo Vojvoda.
Em 2021, após a rodada 28, o time cearense somava 48 pontos, sete a menos do que hoje. Naquele ano, o 4° lugar rendeu classificação direta à fase de grupos da Libertadores ao Fortaleza. Uma campanha sólida, em que o Tricolor figurou boa parte da disputa entre os quatro primeiros, ficando atrás somente dos maiores orçamentos daquela temporada: Atlético-MG, Flamengo e Palmeiras.
Neste 2024, o Tricolor do Pici consegue fazer uma campanha ainda mais impactante. São 55 pontos conquistados após 28 jogos e um sólido terceiro lugar no Brasileirão.
As chances de título já foram maiores neste ano, mas ainda são boas, ainda mais estando a apenas dois pontos do líder Botafogo. Segundo o Espião Estatístico do ge, o Laion soma, após a 28ª rodada, pouco mais de 11% de chances de ser campeão brasileiro.
Líder do returno, o Leão do Pici tem sete vitórias em nove jogos, caminhando a passos largos para ultrapassar - com sobras - o feito de 2021."
Fortaleza ainda não venceu Cuiabá no Castelão pela Série A,"Fortaleza enfrenta o Cuiabá neste domingo (29), às 16h, na Arena Castelão",Redação do ge,"Fortaleza e Cuiabá se enfrentaram apenas seis vezes no Castelão em toda a história. São duas vitórias para cada lado, além de dois empates. Mas o Fortaleza só venceu em jogos da Série C do Brasileiro, nunca na Série A em casa.
+ Fortaleza tem desfalques contra Cuiabá; veja provável escalação


+ Fortaleza x Cuiabá: onde assistir ao vivo, horário e escalações
O Fortaleza enfrenta o Cuiabá neste domingo (29), às 16h, na Arena Castelão. O confronto é válido pela 28ª rodada da Série A. A TV Verdes Mares transmite.
Com a eliminação da Sul-Americana, o Fortaleza tem apenas a Série A como foco. O time tem 11 jogos pela frente e quer permanecer entre os quatro primeiros colocados.
O Leão soma 52 pontos e está na 3ª posição na tabela. O time tem a missão de vencer o adversário pela primeira vez no Castelão na primeira divisão."
Fortaleza renova com Breno Lopes até o fim de 2028,Jogador soma 28 jogos pelo Fortaleza e quatro gols,Redação do ge,"O Fortaleza comunicou nesta quarta-feira (2) a renovação de contrato do atacante Breno Lopes até 31 de dezembro de 2028. O vínculo do atleta era até o final da atual temporada. O jogador soma 28 jogos, quatro gols e três assistências na temporada.
+ Confira as novidades do Fortaleza
- É um grande jogador, campeão com grande currículo no futebol brasileiro, atacante de beirada que tem gols, assistências e dribles, acostumado a jogar jogo grande. Veio para o Fortaleza por empréstimo e houve uma sinergia muito boa do clube com ele, da cidade, a família, todos os atletas e a comissão técnica. Um atleta que ficaria livre no Palmeiras, certamente tinha muitas opções no Brasil e no exterior, mas optou por ficar aqui, fazer um contrato longo, ter estabilidade, uma sequência, que seja uma peça muito importante para os desafios que temos pela frente - falou o CEO do Fortaleza EC SAF Marcelo Paz.
Breno se destaca em jogos difíceis, principalmente os de fora de casa, onde marcou gols contra Atlético-MG, RB Bragantino e Cruzeiro.
- É uma renovação muito importante para o Fortaleza por se tratar de um jogador que está tendo sua primeira experiência no clube em 2024 e já tem sido muito relevante com gols, assistências e pênaltis sofridos que resultaram em partidas vencidas pelo Fortaleza. Um jogador extremamente relevante, decisivo e contributivo para os pontos que alcançamos na Série A. Então, é com muita alegria que renovamos com ele com um projeto de carreira em um contrato longo, esperamos que ele possa ser muito feliz usando as cores da nossa camisa e que possa ter uma trajetória cheia de títulos e muitas conquistas - disse o Presidente Alex Santiago.
O Fortaleza renovou contratos com Sasha, Pedro Augusto, Lucero, João Ricardo e Bruno Pacheco.
Em terceiro na tabela do Brasileiro, o Leão do Pici soma 55 pontos. O time é superado apenas por Palmeiras (56), em 2º, e Botafogo (57), em primeiro. O elenco se reapresentou nesta terça-feira com foco no duelo contra o Grêmio. As equipes se enfrentam na sexta-feira (4), a partir das 21h30 (de Brasília), na Arena do Grêmio."
"Jé, finalista no futsal com o Fortaleza, também se destaca fora das quadras com projeto social",Pivô experiente do Leão acredita na força da torcida para buscar o título da Copa do Brasil de futsal,Crisneive Silveira e Luís Norões,"O Fortaleza enfrenta o Atlântico Erechim nesse domingo (29), pelo jogo de volta das finais da Copa do Brasil de futsal. A equipe do Rio Grande do Sul venceu o confronto de ida por 4 a 3, tendo marcado o gol da vitória nos segundos finais da partida.
O ge conversou de maneira exclusiva com Jé, um dos principais nomes do futsal do Fortaleza e responsável por marcar um dos gols do primeiro jogo das finais. O experiente atleta falou sobre sua trajetória e sobre o Essência, projeto social que organiza em sua terra natal.
- Se eu perder essa gana de estar vencendo, é a hora de pendurar o tênis. É isso que nos move (chegar em decisões). Estar vencendo sempre e entrar para a história do clube, não só passar por aqui.
O Essência é um projeto social idealizado por Jé e Jefferson Marques (Choco), que coordena a rotina da ação. Ele surge com o objetivo de mudar a vida das crianças da comunidade local por meio do futsal. Mas, ao longo do caminho, acaba impactando mais gente.
- A gente se preocupa não só com o lado das crianças. A gente tem o entendimento que os pais precisam também de uma certa atenção.
Sobre o jogo de volta da competição, o pivô do Leão acredita que estar jogando em casa, com o apoio do seu torcedor, pode ser o fator decisivo para que o Fortaleza conquiste o título.
- O fator casa a gente tem que fazer valer. A gente tem essa vantagem, de estar jogando e decidindo em casa.
- A gente espera que o ginásio esteja cheio. É um título muito importante para o clube, para nós atletas.
O Fortaleza busca vencer esse título inédito em sua história no domingo (29). A partida vai acontecer às 13h (horário de Brasília) no Centro de Formação Olímpica."
Fortaleza Tritões disputa semifinal na Unifor neste domingo,Ingressos podem ser adquiridos online ou na Carcalaion Store,Redação do ge,"Neste domingo (29), o Fortaleza Tritões entra em campo para a semifinal da Conferência Nordeste do Campeonato Brasileiro de Futebol Americano (BFA). A equipe enfrentará o Caruaru Wolves (PE), que se classificou em 6º lugar, enquanto o Tritões terminou a fase regular na liderança, com a melhor campanha da região. A partida ocorre no estádio de atletismo da Unifor, às 9h30.
Os ingressos podem ser adquiridos online ou na Carcalaion Store, no shopping Del Paseo. As entradas custam R$ 20 antecipadamente e R$ 25 no dia do jogo. Sócios-torcedores têm um desconto exclusivo, pagando R$ 10 antecipado e R$ 15 na hora. Crianças de até 11 anos entram gratuitamente.


O Caruaru Wolves chega reforçado com cinco novos jogadores, incluindo o americano Daniel Bender. Apesar disso, o head coach do Tritões, Guilherme Bechtold, se mantém otimista.
- Estamos muito confiantes no trabalho desenvolvido ao longo da temporada. Desde o último jogo contra o Caruaru, evoluímos bastante e enfrentamos desafios importantes, saindo vitoriosos - declarou Bechtold."
"Atuações: Hércules marca e garante vitória do Fortaleza, que se portou bem na defesa",Equipe derrotou o Cuiabá por 1 a 0 na Arena Castelão,Redação do ge,"Hércules: o volante vinha discreto na partida mas, bem posicionado, apareceu como elemento surpresa para marcar o gol da vitória do Tricolor ainda no primeiro tempo. Nota: 7,5.
Kervin Andrade: o meia-ofensivo foi bastante acionado e conseguiu desequilibrar. Teve boas oportunidades de balançar as redes. Nota: 7,0.
Renato Kayzer: o atacante participou bastante das jogadas e teve grandes oportunidades. No entanto, não conseguiu ser efetivo. Nota: 7,0
João Ricardo: 7,0
Kuscevic: 7,5
Brítez: 7,5
Tomás Cardona: 7,5
Mancuso: 6,5
Matheus Rossetto: 7,0
Marinho: 6,5
Breno Lopes: 7,0


Pedro Augusto: 6,5
Pochettino: 6,5
Pikachu: 6,5
Tinga: sem nota
Martínez: sem nota
O Tricolor volta a campo na sexta-feira (4), quando enfrenta o Grêmio, fora de casa. O duelo será às 21h30 (de Brasília), fora de casa.
+ Fortaleza vence o Cuiabá e segue invicto em casa no Brasileirão
+ Veja melhores momentos de Fortaleza 1 x 0 Cuiabá"
Autor de golaço em final do Cearense Sub-20 sonha com chance no profissional do Fortaleza,"Destaque da base do Laion, Kauê Canela marcou o terceiro gol da vitória na final do estadual da categoria",Redação do ge,"Golaço em final e título para coroar a temporada. Foi assim que o atacante Kauê Canela terminou o Campeonato Cearense Sub-20, conquistado pelo Fortaleza nesta segunda-feira (30), sobre o Ceará. O Leão do Pici venceu por 3 a 2 e faturou a competição.
+ Kauê Canela treina com profissional do Fortaleza e pode ser relacionado por Vojvoda
O terceiro gol tricolor foi um golaço (reveja no vídeo acima). Canela arrancou do meio de campo, deixou zagueiro e goleiro adversários no chão e chutou para fazer o terceiro aos 51 minutos do segundo tempo. Esse foi o 15° gol dele pelo Laion no ano. Na temporada, são 18.
- Foi uma noite incrível. Conquistamos o título diante do nosso rival e aumentamos a galeria de troféus do Fortaleza. Consegui marcar um belo gol, talvez um dos mais bonitos da minha carreira, e ajudei nesta conquista. Esse grupo merecia muito isso, pois trabalhamos demais para chegar neste momento. Fomos coroados - ressaltou.
+ Final entre Ceará e Fortaleza tem briga generalizada no Sub-20; veja vídeo
Kauê chegou ao Laion após ser destaque no Novorizontino na Copa São Paulo de Futebol Júnior deste ano. No Brasileiro da categoria, foi o artilheiro do time cearense, com campanha até a terceira fase do torneio.
- Tem sido um ano muito bom para mim. Agradeço demais o Fortaleza por tudo que me proporcionou desde a minha chegada. Me adaptei bem e tudo foi fluindo naturalmente dentro de campo. Claro que tenho o sonho e desejo de estar no elenco profissional, mas tudo será fruto do que eu fizer aqui na base. É o meu objetivo, mas um passo de cada vez - completou o jogador.
Kauê estava sob os olhares do técnico Juan Pablo Vojvoda, comandante do elenco profissional. Ele estava nas arquibancadas do Presidente Vargas acompanhando o jogo."
Kauê Canela treina com time profissional do Fortaleza e pode ser relacionado por Vojvoda,"Kauê é destaque do Sub-20, com 14 gols e uma assistência em 23 jogos",Thaís Jorge,"O atacante Kauê Canela treinou com profissionais do Fortaleza nesta sexta-feira (27), mirando o Cuiabá. O jogador pode ser relacionado para o jogo de domingo, às 16 horas, na Arena Castelão, pela 28ª rodada da Série A do Brasileiro. Kauê é destaque do Sub-20 do Fortaleza, com 14 gols e uma assistência em 23 jogos.
O time não vai contar com o volante Zé Welison e o atacante Lucero, que cumprem suspensão. O atacante Moisés tem edema na coxa, e o volante Lucas Sasha trata edema na panturrilha direita.




O atleta chegou ao Tricolor do Pici depois de uma ótima atuação na Copinha pelo Novorizontino. Nas vezes em que o Laion enfrentou o Flamengo na temporada, só ele marcou gols: 3 a 0 no dia 26 de junho e 1 a 0 no dia 29 de agosto. Os quatro gols foram do Kauê.
Também marcou um hat-trick contra o Atlético-MG, além de ter balançado as redes em todas as partidas pelo Sub-20, independente da competição disputada (Atlético-GO, Flamengo, Ferroviário, Atlético-MG e Palmeiras)."
