title,subtitle,author,article_content
Veja o que o Botafogo precisa para se classificar às semifinais do Carioca,Alvinegro não depende apenas de si para ficar entre os quatro melhores clubes,Redação do ge,"No meio de confronto decisivo da Conmebol Libertadores e no turbilhão da busca de um novo treinador, o Botafogo volta o foco ao Campeonato Carioca. Fora do G4, que garante vaga na semifinal, o time enfrenta o Audax às 16h deste sábado, no Estádio Nilton Santos.
O Alvinegro será comandado por Fábio Matias, auxiliar permanente, que ficará no lugar de Tiago Nunes, demitido na última quinta-feira. O jogo é importante, já que o Alvinegro não depende apenas de si para chegar entre os quatro melhores do Estadual e fugir da Taça Rio.
Para o Botafogo chegar na semi, além de vencer, também tem que secar Vasco ou Nova Iguaçu. Ambas as equipes têm dois jogos a serem disputados.
+ Conheça Fábio Matias, treinador interino do Botafogo na partida contra o Audax
+ Victor Sá diz que ciclo no Botafogo terminou e se despede: ""Nunca me escondi""
O Botafogo ocupa a 5ª colocação, com 14 pontos. O Nova Iguaçu está em 3º, com 18, e o Vasco fecha o G4 com 16 pontos.
Calendário do Botafogo:
Audax x Botafogo - Estádio Nilton Santos - 24/02 - 16h
Fluminense x Botafogo - Maracanã - 03/03
Calendário do Vasco:
Vasco x Volta Redonda - Estádio Kléber Andrade - 24/02 - 17h30
Vasco x Portuguesa-RJ - São Januário - 03/03
Calendário do Nova Iguaçu:
Portuguesa-RJ x Nova Iguaçu - Luso-Brasileiro - 24/02 - 18h30
Volta Redonda x Nova Iguaçu - Raulino de Oliveira
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
+ Contratações do Botafogo para 2024: veja quem chega e quem vai embora


Se o Botafogo ganhar as duas partidas (conquistar seis pontos), tem que torcer para o Nova Iguaçu não vencer nenhum dos compromissos que possui (perder ou empatar) e o Vasco vencer no máximo apenas uma das partidas que tem.
Se o Botafogo ganhar uma partida e empatar a outra (conquistar quatro pontos), tem que torcer para o Nova Iguaçu não pontuar (perder os dois jogos) e o Vasco no máximo empatar as duas partidas (fazer 2 pontos).
Se o Botafogo ganhar apenas uma partida (conquistar três pontos), não pode mais ultrapassar o Nova Iguaçu. Deve torcer para o Vasco não fazer mais que um ponto nos dois jogos.
Se o Botafogo empatar as duas partidas (conquistar dois pontos), não pode mais ultrapassar o Nova Iguaçu. Deve torcer para o Vasco perder as duas partidas que fez e, além disso, calcular o saldo de gols, principal critério de desempate.
O Botafogo estará eliminado se fizer um ponto (ou menos) nos dois jogos.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
Luiz Henrique revela homenagem a Ronaldinho em escolha pela camisa 99 no Botafogo,Atacante foi apresentado nesta terça-feira e pode estrear no clássico contra o Flamengo,Redação do ge,"O Botafogo apresentou nesta terça-feira o atacante Luiz Henrique, principal contratação do clube para a temporada 2024 e jogador mais caro da história do futebol brasileiro. Na cerimônia, o atacante revelou que usará a camisa 99.
+ Contratações do Botafogo para 2024: veja quem chega e quem vai embora
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
- É por causa do Ronaldinho na época do Milan, né?! Bagunçava todo mundo (risos) - afirmou o jogador em entrevista para a Botafogo TV.
O atacante Ronaldo Fenômeno usou a camisa 99 no Milan entre os anos 2007 e 2008.
Luiz já está regularizado e pode fazer a estreia nesta quarta-feira, no clássico contra o Flamengo, às 21h30, no Maracanã. Como vinha treinando e jogando pelo Real Bétis, o jovem atacante está em plenas condições físicas e de ritmo de jogo.
Leia mais sobre o Botafogo:
+ Luiz Henrique chora ao lembrar das origens em apresentação no Botafogo: ""Muito sofrimento""
+ Exames detectam lesões em Jeffinho e John, que desfalcam o Botafogo na pré-Libertadores
A partida acontece no mesmo dia do aniversário da filha de Luiz Henrique, Anallu, o que, segundo ele, aumenta a expectativa por estrear pelo clube.
- Se eu jogar será uma estreia boa, aniversário de um ano da minha filha. Vou ajudar Botafogo a sair com a vitória (...) Farei de tudo para ajudar. Estrear contra Flamengo será muito bom - afirmou.
+ Leia mais notícias do Botafogo
O Botafogo é o atual vice-líder do Campeonato Carioca, com 11 pontos somados, atrás apenas do Fluminense.
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
Botafogo empresta Luis Segovia ao CRB,Zagueiro equatoriano será cedido até o fim do ano ao clube alagoano,Redação do ge,"O Botafogo emprestou o zagueiro Luis Segovia, de 26 anos, para o CRB. Ele será cedido até o fim do ano para ajudar o time alagoano na série B do Campeonato Brasileiro.
A informação foi divulgada inicialmente pelo Canal do TF e, posteriormente, confirmada pelo ge.
O defensor chegou ao clube no início de 2023, mas pouco foi utilizado. Sem espaço, ele foi emprestado em julho do ano passado para o RWD Molenbeek, clube de John Textor na Bélgica. Ele chegou a ser titular do time, mas teve a sequência interrompida por uma lesão em um dos joelhos, no dia 9 de dezembro.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
Leia mais sobre o Botafogo:
+ Picanha e retiro em praia: como é a vida de Artur Jorge, técnico do Botafogo, no Rio
+ Bastos é avisado por Júnior Santos sobre convocação para seleção de Angola; veja
Ele retornou ao Alvinegro em fevereiro para a reta final de recuperação e voltou a ser relacionado no fim de março. Artur Jorge o chamou para 23 jogos, mas o defensor não foi utilizado.
Sem Segovia, o Botafogo agora tem em Bastos e Barboza a zaga titular. Além disso, Lucas Halter é reserva, e Pablo está em transição para voltar a jogar. A direção e segue no mercado à procura por um novo atleta para o setor.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
"Escalação do Botafogo: Mateo Ponte ganha nova chance entre titulares, e Tchê Tchê é desfalque",Damián Suárez cumpre suspensão pelo terceiro cartão amarelo,Redação do ge,"O Botafogo embarcou rumo ao Mato Grosso, onde enfrenta o Cuiabá pela 14ª rodada do Campeonato Brasileiro, sem o lateral-direito Damián Suárez. Ele levou o terceiro cartão amarelo e cumpre suspensão automática. Isso representa uma nova chance para Mateo Ponte. Tchê Tchê está fora em função do ferimento na canela no jogo contra o Vasco.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
Contratado em agosto de 2023 por US$ 2 milhões (R$ 9,4 milhões), o jovem uruguaio ainda busca mais oportunidades e espaço na equipe alvinegra. O jogador de 21 anos tem 23 jogos, um gol e duas assistências pelo clube e é a única opção na posição, já que Rafael se recupera de lesão.
Artur Jorge ainda tem outro desfalque, o meia Tchê Tchê. O jogador levou seis pontos em um corte na canela, causado por uma entrada dura de Hugo Moura, e não tem condições de jogar. Sem ele, o português pode voltar ao sistema com quatro homens de frente, como fez no segundo tempo contra o Vasco.
Além desses dois desfalques, Rafael, Matheus Nascimento, Jeffinho (lesionados), e Savarino (convocado pela Venezuela para a Copa América) seguem de fora da equipe.
Leia mais sobre o Botafogo:
+ Como Almada e Allan se encaixam no time do Botafogo? Comentaristas analisam
+ Conheça os sete princípios da SAF Botafogo, que estampam o CT e são entregues aos jogadores


A bola rola às 19h na Arena Pantanal nesta quarta-feira (03) com transmissão do sportv e do Premiere. O Glorioso ocupa a terceira colocação do torneio com 24 pontos somados, três a menos que o líder Flamengo.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
Além dos gols pela Seleção: veja como foram os jogadores do Botafogo nas Eliminatórias,Cinco dos seis convocados do Glorioso na América do Sul entraram em campo,Redação do ge,"A Data Fifa já não é mais sinônimo de ""pausa"" ou ""folga"" para o Botafogo. Pelo menos para uma parte do elenco, como provaram Igor Jesus e Luiz Henrique garantindo a vitória do Brasil por 2 a 1 sobre o Chile. Foram oito jogadores convocados para o atual período de seleções e que tiveram participações relevantes nas Eliminatórias da Copa do Mundo.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
A lista tem Alex Telles, Igor Jesus e Luiz Henrique (Brasil); Yarlen (seleção sub-20); Almada (Argentina); Gatito (Paraguai); Savarino (Venezuela); Bastos (Angola). O zagueiro angolano atua nesta sexta nas eliminatórias para a Copa Africana de Nações, enquanto o atacante do sub-20 faz apenas um período de treinos na Granja Comary.
Dos seis convocados para as eliminatórias da América do Sul, quatro foram titulares das respectivas seleções e contribuíram para resultados importantes na 9ª rodada, que vale vaga na Copa do Mundo de 2026.


O meia argentino Thiago Almada, que foi peça central da classificação sobre o São Paulo nas quartas de final da Conmebol Libertadores, foi titular pela primeira vez na seleção principal da Argentina, escalada por Lionel Scaloni.
Aos 23 anos, ele atuou por 45 minutos ao lado de Lionel Messi, Enzo Fernández, Julián Álvarez e companhia. Deu lugar ao lateral-direito Montiel na volta do intervalo como forma do treinador dar mais consistência defensiva à equipe.
Thiago soma agora cinco partidas pela equipe principal da Argentina, tendo marcado um gol, em um amistoso contra o Panamá em março de 2023. Ele havia ficado fora das últimas convocações, inclusive da Copa América, para poder focar na disputa das Olimpíadas. Os campeões do mundo lideram as eliminatórias com 19 pontos.


O goleiro Gatito Fernández, de 36 anos, segue como titular absoluto da seleção paraguaia, mesmo atuando pouco pelo Botafogo. Ele atuou por 90 minutos no empate em 0 a 0 com o Equador no Estádio Casa Blanca, em Quito.
Somando amistosos e jogos oficiais, é a quarta vez consecutiva que ele sai de campo sem ser vazado pela seleção paraguaia. Os comandados de Gustavo Alfaro estão se recuperando e ocupam a 8ª colocação nas Eliminatórias.
Leia mais sobre o Botafogo:
+ Conhece a história do Botafogo com a seleção brasileira? Faça o quiz!
+ Selefogo? Botafogo e torcedores comemoram vitória do Brasil contra o Chile; veja memes


Dos três jogadores botafoguenses convocados pelo técnico Dorival Júnior, somente o centroavante Igor Jesus foi titular. Porém isso não significa que foi o único a se destacar. Ele marcou o gol que abriu caminho para a vitória brasileira, aos 46 minutos do primeiro tempo.
O centroavante mato-grossense atuou por 76 minutos antes de dar lugar a Endrick. Oito minutos antes, Luiz Henrique entrou no time e acabou sendo também decisivo para o triunfo. O camisa 21 substituiu Savinho, que iniciou pela ponta direita.
Já no minuto final do tempo regulamentar, recebeu boa bola de Bruno Guimarães, fez o drible na quina da grande área, ameaçou e finalizou de chapa para garantir a virada e a vitória brasileira sobre o Chile. Telles foi o único dos três que não foi acionado. A vitória alçou o Brasil à quarta colocação do torneio classificatório.


O camisa 10 do Botafogo, Jefferson Savarino, voltou a ser titular da seleção venezuelana depois de uma Copa América em que passou a maior parte do tempo no banco e sequer ter atuado em uma das últimas duas partidas das Eliminatórias.
Usando o número 7, ocupou a ponta direita, setor que originalmente jogou ao longo da carreira, mas bem diferente do que vem fazendo no líder do Brasileirão. Hoje, é um dos melhores jogadores do campeonato num posicionamento mais centralizado, como uma espécie de armador.
Esteve em campo com a Venezuela por 59 minutos antes de ser substituído por Machís aos 14 minutos do segundo tempo. A Vinotinto ocupa a 7ª posição das Eliminatórias e sonha em disputar a Copa de 2026.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
"Lesão de Cuiabano não é grave, e lateral voltará aos treinos na reapresentação do Botafogo",Presença contra o Fortaleza vai depender de como a recuperação avançará durante a semana,Giba Perez,"O lateral-esquerdo Cuiabano desfalcou o Botafogo no último domingo, quando a equipe enfrentou o Bahia pelo Campeonato Brasileiro e empatou por 0 a 0. No entanto, ele não deve ser problema para a sequência.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
A lesão no ombro direito foi leve e o defensor deve retornar aos treinos já na reapresentação do elenco, na próxima terça-feira pela manhã. A presença no jogo contra o Fortaleza não é garantida e vai depender de como ele vai se sentir em relação à recuperação. O mais provável é que volte apenas após a Data Fifa.
Cuiabano sofreu uma luxação contra o Palmeiras, na última quarta-feira pela Conmebol Libertadores, que foi corrigida ainda no estádio. Em geral, lesões leves deste tipo demandam uma semana de repouso e fisioterapia para recuperação.
O lateral deixou o jogo após uma dividida com Estêvão e apareceu ao fim com uma tipoia no braço direito. Segundo relato do próprio, o problema aconteceu ao tentar um carrinho pra bloquear um cruzamento do atacante do Palmeiras.
Leia mais sobre o Botafogo:
+ Sem lesão grave, Luiz Henrique, do Botafogo, vive expectativa de primeira convocação para a Seleção
+ Sequência cobra preço, e Botafogo pode perder meio time para duelo contra o Bahia
Contratado na reta final do primeiro semestre, Cuiabano rapidamente venceu a concorrência e se tornou titular absoluto no setor. São 22 partidas pelo Botafogo, com quatro gols e três assistências.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
Alex Telles chega bem fisicamente e pronto para ser o substituto imediato de Cuiabano no Botafogo,Lateral de 31 anos está de volta ao futebol brasileiro após 11 temporadas,Jéssica Maldonado,"O Botafogo parecia ter encerrado as contratações da janela de transferências, na última segunda-feira, até que Alex Telles rescindiu seu contrato com o Al-Nassr. A notícia surgiu no momento certo, em meio à lesão de Cuiabano, titular da lateral esquerda. Foram poucas horas de negociação entre as duas partes para que o acerto fosse fechado. Assim, o Alvinegro encerrou o período de negociações com um reforço pronto, livre no mercado e com experiência de sobra.
O novo defensor do Alvinegro desembarcou no Rio de Janeiro na noite da última sexta e chega apto a suprir a lacuna deixada pela baixa médica no time de Artur Jorge. Telles foi titular nos quatro jogos do Al-Nassr na recém-aberta temporada saudita, atuando nos 90 minutos.
Pessoas ligadas ao jogador garantem que ele chega ao Alvinegro 100% pronto fisicamente, já que participou da pré-temporada com o Al-Nassr, que era comando pelo ex-técnico do Botafogo, Luís Castro. Antes disso, ele treinou durante todo o período de férias com seu preparador físico pessoal.
O gaúcho de 31 anos chegou a fazer um bonito gol de falta em vitória por 1 a 0 no amistoso contra Marítimo, de Portugal, no dia 27 de julho (vídeo abaixo).
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp


Telles retorna ao futebol brasileiro mais experiente em relação ao jogador que deixou o Grêmio, em 2013, rumo ao Galatasaray, da Turquia. Foram oito títulos conquistados nesse período em seis clubes diferentes, disputando fortes ligas europeias.
Telles também foi figura frequente na seleção brasileira nos últimos anos, somando convocações entre 2019 até a metade de 2023.
Sua melhor temporada, considerando números, foi em 2019/2020 no Porto, de Portugal. Ele entrou em campo 49 vezes, fez 13 gols e deu 11 assistências. O lateral ainda abriu bem a temporada seguinte - com três jogos, dois gols e duas assistências - mas logo foi negociado com o Manchester United. No total, foram 195 jogos, 26 gols e quatro títulos conquistados no clube português.
Mas a história seguiu, e o brasileiro passou a acumular experiência e títulos, como o da Europa League, pelo Sevilla. Também jogou na Liga dos Campeões, Premier League, Copa da Inglaterra e, mais recentemente, atuou no time que tinha Cristiano Ronaldo no comando de ataque, sendo campeão da Copa Árabe diante do Al Hilal.
Leia mais sobre o Botafogo:
+ Veja quem ganhou e quem perdeu espaço no Botafogo com a janela de transferências
+ Botafogo x São Paulo: 25 mil ingressos foram vendidos para o duelo da Libertadores
Com a lesão de Cuiabano e uma situação de oportunidade de mercado, o Botafogo terá em Alex Telles ainda mais experiência para conduzir o time na briga por títulos na reta final de 2024.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
"Artur Jorge aprova primeiros meses no Botafogo e projeta futuro no Brasil: ""Anos pela frente""","Em entrevista exclusiva ao ge, treinador se diz feliz e detalha projeto para fomentar a formação de jogadores na base; no Braga, ele rendeu 45 milhões de euros em vendas com jovens promessas","Bernado Serrado, Edson Viana e Jéssica Maldonado, Redação do ge","A missão de Artur Jorge no Botafogo vai além de ganhar títulos. O treinador recebeu o ge com exclusividade no hotel da delegação, na noite da última sexta-feira, e explicou o projeto que o fez deixar Portugal pela primeira vez e vislumbrou o futuro no Brasil. O treinador vai completar quatro meses no comando alvinegro, levou o time à liderança no Brasileirão e está na briga na Libertadores e na Copa do Brasil.


Artur, aos poucos, vai se adaptando à rotina dos cariocas, embora sinta muita falta dos filhos e netos, que ficaram na Europa. Ainda assim, apenas com a esposa no Rio de Janeiro, ele não cogita ir embora tão cedo - seu contrato vai até o final de 2025.
- Vejo perfeitamente ser capaz de cumprir o contrato e até prolongá-lo. Estou satisfeito com o projeto e feliz por estar aqui. Os técnicos que mais permanecem são aqueles que mais ganham (...). São contextos que podem fazer a minha continuidade por muito tempo. Me identifico muito com o projeto e com o que estou fazendo. Estou feliz e isso faz de mim uma pessoa que vê o projeto com anos pela frente. Sinto-me bem sobre como estou - disse.
O retrospecto de 24 jogos com 16 vitórias não o surpreende e pode ser visto como um prenúncio do que o futuro reserva, que vai além do resultado. O treinador de 52 anos tem no currículo a revelação de jogadores na base do Braga, que renderam 45 milhões de euros ao clube português. E esse também foi os dos motivos que o trouxeram para o Alvinegro.
Artur conta que sua passagem pelo Braga o credenciou para projetos voltados para as categorias de base, já que subiu degrau por degrau a partir do sub-15 até chegar ao time principal. Depois de já ter conquistado a Taça da Liga na última temporada, ele se sentia acomodado e foi aí que o projeto apresentado por John Textor surgiu com força para encorajá-lo a sair de seu país.


+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
- Aqui ainda temos alguma dificuldade (na base). Por isso que digo que estamos em um projeto, em que se tem que ganhar, ter sucesso desportivo, mas tem que ser um projeto que tenha ideia, fundamento. Precisamos criar solidificação do Botafogo e criar condições para ter uma base mais forte, para sermos uma potência. Tenho jogadores que estrearam conosco, como Fabiano, Yarlen, Kauê... Temos outros jovens, mas que não fazem parte da nossa base, mas procuramos cada vez mais esses atletas (...). Queremos que sejam ativos que o clube possa usar para pra sua estabilidade e grandeza.
Leia mais sobre o Botafogo:
+ Botafogo empresta Segovinha para o Al-Ain, dos Emirados Árabes
+ Escalação do Botafogo: Cuiabano retorna e está à disposição contra Internacional
O Botafogo entra em campo neste sábado, às 18h30, contra o Internacional, no Nilton Santos. Líder isolado, joga para se manter no topo, e seguir preparando o caminho para alguma conquista em 2024. Artur Jorge traça metas, que trata de gerenciar para não apoiar suas expectativas nos atletas, mas já sabe o legado que quer deixar.


+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
"Saiba como está o momento do atacante Igor Jesus, que tem pré-contrato assinado com o Botafogo","Jogador está no Al-Ahli, mas só chega ao Alvinegro em junho",Jéssica Maldonado,"O Botafogo tem dois jogadores com pré-contrato assinado e que chegam ao Rio de Janeiro até o meio do ano: o volante Allan e o atacante Igor Jesus. O clube tenta a liberação antecipada dos dois atletas, mas a do centroavante está praticamente descartada.
Além do bom momento, apesar de não estar entre os mais utilizados do elenco na temporada, o proprietário do Shabab Al-Ahli está irredutível em liberá-lo com antecedência por ter sido um jogador importante nesses últimos anos e deseja que ele termine o contrato por lá. Além disso, o treinador, o servo Marko Nikolić, não abre mão de tê-lo nos últimos meses de competições.
O jogador oscila entre titularidade e reserva na equipe que é a terceira colocada na Arabian Gulf League 2023/24. Neste domingo, ele foi o primeiro a balançar as redes no 3 a 0 sobre o Ajman. Por lá, ele atua no comando de ataque, como centroavante, além de ponta.
+ Análise: Botafogo vence com jovens isentos da pressão e ganha fôlego para Libertadores
+ Das caronas nas vans hospitalares ao profissional: Kauê aproveita oportunidade no Botafogo e se destaca
+ Contratações do Botafogo para 2024: veja quem chega e quem vai embora
Essa é a quarta temporada do jogador de 24 anos nos Emirados Árabes. Em Dubai, ganhou a confiança dos torcedores e criou identificação logo no primeiro ano, quando fez 40 jogos e marcou 21 gols.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
O Al-Ahli fez 19 jogos na atual temporada, com 11 participações de Igor - foram três gols e uma assistência. Em dezembro, foi campeão da Supercopa dos Emirados Árabes ao vencer o Al-Sharjah por 6 a 2.
Entre setembro e dezembro, Igor ficou sem atuar em um período de recondicionamento físico.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
"Alexander Barboza desabafa após derrota do Botafogo para o Vasco: ""Entramos dormindo""","Zagueiro diz que time ""entrou dormindo"" no segundo tempo e afirma: ""Não há tempo para lamentações""",Redação do ge,"O zagueiro Alexander Barboza desabafou na saída do gramado, logo após a derrota do Botafogo para o Vasco, por 4 a 2, neste domingo, no Estádio Nilton Santos, pelo Campeonato Carioca. Visivelmente abatido com o resultado, o jogador reconheceu os erros da equipe e narrou o sentimento em perder o clássico.
+ Contratações do Botafogo para 2024: veja quem chega e quem vai embora
- É uma derrota que tem que doer, é um sentimento muito ruim perder um clássico. Essa dor tem que sentir hoje e a partir de amanhã pensar na Libertadores. Tratar de logo de apagar o que aconteceu nessa partida. Fizemos coisas boas, seguramente, mas também muitas coisas ruins. Lamentavelmente, terminamos perdemos na nossa casa.
Sincero, Alexander Barboza ainda afirmou que o Botafogo entrou ""dormindo"" na segunda etapa e que agora é hora de virar a página e pensar na Conmebol Libertadores.
+ ✅Clique aqui para seguir o novo canal ge Botafogo no WhatsApp
- Entramos dormindo na realidade, deram a saída e fizeram o gol. São coisas que não podem acontecer, principalmente nesses jogos. Mas é futebol, tem que trabalhar, corrigir e focar no que vem pela frente, que é a Libertadores. Não há tempo para lamentações.
O Botafogo volta a campo nesta quarta-feira, pelo jogo de ida da segunda fase da Pré-Libertadores, contra o Aurora, na Bolívia, às 21h30 (de Brasília). Pelo Carioca, encara o Audax, sábado, às 16h, em Bacaxá.
+ Leia mais notícias do Botafogo
🎧 Ouça o podcast ge Botafogo 🎧
Assista: tudo sobre o Botafogo no ge, na Globo e no sportv"
